"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"","March 15, 1975","University of Georgia","https://en.wikipedia.org/wiki/University_of_Georgia","Athens","https://en.wikipedia.org/wiki/Athens,_Georgia","Inactive","9","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:6-10","[","]","– xxxx ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Chi Epsilon"
"Psi Epsilon","May 25, 1974","Bowling Green State University","https://en.wikipedia.org/wiki/Bowling_Green_State_University","Bowling Green","https://en.wikipedia.org/wiki/Bowling_Green,_Ohio","Active","57","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-87","[","]","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Omega Epsilon"
"Alpha Eta","1976","University of South Florida","https://en.wikipedia.org/wiki/University_of_South_Florida","Tampa","https://en.wikipedia.org/wiki/Tampa,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Beta Eta","April 12, 1975","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Active","58","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-88","[","]","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"Gamma Eta","April 4, 1978","University of Central Arkansas","https://en.wikipedia.org/wiki/University_of_Central_Arkansas","Conway","https://en.wikipedia.org/wiki/Conway,_Arkansas","Active","59","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-89","[","]","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Delta Eta","1976","California State University, Long Beach","https://en.wikipedia.org/wiki/California_State_University,_Long_Beach","Long Beach","https://en.wikipedia.org/wiki/Long_Beach,_California","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"","1976","Shippensburg","https://en.wikipedia.org/wiki/Shippensburg,_Pennsylvania","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–201x ?","","","Epsilon Eta"
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Zeta Eta"
"","","Youngstown State University","https://en.wikipedia.org/wiki/Youngstown_State_University","Youngstown","https://en.wikipedia.org/wiki/Youngstown,_Ohio","Inactive","60","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-90","[","]","197x ?–xxxx ?","Ohio","https://en.wikipedia.org/wiki/Ohio","Eta Eta"
"","","University of Maryland, Baltimore County","https://en.wikipedia.org/wiki/University_of_Maryland,_Baltimore_County","Baltimore County","https://en.wikipedia.org/wiki/Baltimore_County,_Maryland","Inactive","","","","","197x ?–xxxx ?","Maryland","https://en.wikipedia.org/wiki/Maryland","Theta Eta"
"Iota Eta","May 4, 1974","University of Alabama","https://en.wikipedia.org/wiki/University_of_Alabama","Tuscaloosa","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","Active","61","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-91","[","]","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Kappa Eta","May 4, 1976","University of Arkansas, Monticello","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Monticello","Monticello","https://en.wikipedia.org/wiki/Monticello","Active","62","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-92","[","]","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Lambda Eta","April 30, 1976","Sam Houston State University","https://en.wikipedia.org/wiki/Sam_Houston_State_University","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Mu Eta","July 26, 1976","Pennsylvania State University","https://en.wikipedia.org/wiki/Pennsylvania_State_University","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","63","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-93","[","]","","","",""
"Nu Eta","1976","University of West Florida","https://en.wikipedia.org/wiki/University_of_West_Florida","Pensacola","https://en.wikipedia.org/wiki/Pensacola,_Florida","Active","","","","","–19xx ?, 1999","Florida","https://en.wikipedia.org/wiki/Florida",""
"Xi Eta","1976","Henderson State University","https://en.wikipedia.org/wiki/Henderson_State_University","Arkadelphia","https://en.wikipedia.org/wiki/Arkadelphia,_Arkansas","Active","","","","","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Omicron Eta","1976","University of Texas at Arlington","https://en.wikipedia.org/wiki/University_of_Texas_at_Arlington","Arlington","https://en.wikipedia.org/wiki/Arlington,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Pi Eta","1976","Florida Atlantic University","https://en.wikipedia.org/wiki/Florida_Atlantic_University","Boca Raton","https://en.wikipedia.org/wiki/Boca_Raton,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Rho Eta","April 20, 1976","California State University, Los Angeles","https://en.wikipedia.org/wiki/California_State_University,_Los_Angeles","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"","","LaGrange College","https://en.wikipedia.org/wiki/LaGrange_College","LaGrange","https://en.wikipedia.org/wiki/LaGrange,_Georgia","Inactive","","","","","197x ?–xxxx ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Sigma Eta"
"","November 13, 1976","University of Mississippi","https://en.wikipedia.org/wiki/University_of_Mississippi","Oxford","https://en.wikipedia.org/wiki/Oxford,_Mississippi","Inactive","64","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-94","[","]","– 2019 ?","Mississippi","https://en.wikipedia.org/wiki/Mississippi","Tau Eta"
"","1977","Pace University","https://en.wikipedia.org/wiki/Pace_University","New York City","https://en.wikipedia.org/wiki/New_York_City","Inactive","","","","","–xxxx ?","New York","https://en.wikipedia.org/wiki/New_York_(state)","Upsilon Eta"
"","1977","East Central University","https://en.wikipedia.org/wiki/East_Central_University","Ada","https://en.wikipedia.org/wiki/Ada,_Oklahoma","Inactive","","","","","–xxxx ?","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Phi Eta"
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Chi Eta"
"Psi Eta","January 7, 1977","University of South Carolina","https://en.wikipedia.org/wiki/University_of_South_Carolina","Columbia","https://en.wikipedia.org/wiki/Columbia_University","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Omega Eta","January 7, 1977","University of Louisiana at Lafayette","https://en.wikipedia.org/wiki/University_of_Louisiana_at_Lafayette","Lafayette","https://en.wikipedia.org/wiki/Lafayette,_Louisiana","Active","66","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-96","[","]","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"","1977","Valdosta State University","https://en.wikipedia.org/wiki/Valdosta_State_University","Valdosta","https://en.wikipedia.org/wiki/Valdosta,_Georgia","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Alpha Theta"
"Beta Theta","February 3, 1977","University of Louisiana at Monroe","https://en.wikipedia.org/wiki/University_of_Louisiana_at_Monroe","Monroe","https://en.wikipedia.org/wiki/Monroe,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Gamma Theta","1977","University of Alabama at Birmingham","https://en.wikipedia.org/wiki/University_of_Alabama_at_Birmingham","Birmingham","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Delta Theta","June 12, 1977","University of Louisville","https://en.wikipedia.org/wiki/University_of_Louisville","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Active","","","","","","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"Epsilon Theta","1977","Mississippi State University","https://en.wikipedia.org/wiki/Mississippi_State_University","Mississippi State","https://en.wikipedia.org/wiki/Mississippi_State,_Mississippi","Active","","","","","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Zeta Theta"
"Eta Theta","1977","Virginia Commonwealth University","https://en.wikipedia.org/wiki/Virginia_Commonwealth_University","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Theta Theta","March 22, 1977","Winthrop University","https://en.wikipedia.org/wiki/Winthrop_University","Rock Hill","https://en.wikipedia.org/wiki/Rock_Hill,_South_Carolina","Active","67","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-98","[","]","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Iota Theta","1975","Indiana State University","https://en.wikipedia.org/wiki/Indiana_State_University","Terre Haute","https://en.wikipedia.org/wiki/Terre_Haute,_Indiana","Active","","","","","","Indiana","https://en.wikipedia.org/wiki/Indiana",""
"","1976","Ferris State University","https://en.wikipedia.org/wiki/Ferris_State_University","Big Rapids","https://en.wikipedia.org/wiki/Big_Rapids,_Michigan","Inactive","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","–xxxx ?","Michigan","https://en.wikipedia.org/wiki/Michigan","Kappa Theta"
"Lambda Theta","1977","University of Southern Mississippi","https://en.wikipedia.org/wiki/University_of_Southern_Mississippi","Hattiesburg","https://en.wikipedia.org/wiki/Hattiesburg,_Mississippi","Active","","","","","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"Mu Theta","September 17, 1977","Middle Tennessee State University","https://en.wikipedia.org/wiki/Middle_Tennessee_State_University","Murfreesboro","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","Active","68","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-99","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Nu Theta","1978","University of Connecticut","https://en.wikipedia.org/wiki/University_of_Connecticut","Wilmington","https://en.wikipedia.org/wiki/Willington,_Connecticut","Active","69","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-100","[","]","–xxxx ?, 2009","Connecticut","https://en.wikipedia.org/wiki/Connecticut",""
"Xi Theta","1978","University of Arkansas at Little Rock","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Little_Rock","Little Rock","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Active","","","","","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Omicron Theta","February 18, 1978","University of Texas at Austin","https://en.wikipedia.org/wiki/University_of_Texas_at_Austin","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Pi Theta","December 10, 1977","Morris College","https://en.wikipedia.org/wiki/Morris_College","Sumter","https://en.wikipedia.org/wiki/Sumter,_South_Carolina","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"Rho Theta","December 21, 1977","Rowan University","https://en.wikipedia.org/wiki/Rowan_University","Glassboro","https://en.wikipedia.org/wiki/Glassboro,_New_Jersey","Active","70","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-101","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Tau Xi","1977","University of West Alabama","https://en.wikipedia.org/wiki/University_of_West_Alabama","Livingston","https://en.wikipedia.org/wiki/Livingston,_Alabama","Inactive","16","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:0-21","[","]","–xxxx ?","Alabama","https://en.wikipedia.org/wiki/Alabama","Sigma Theta"
"Tau Theta","April 2, 1978","University of Virginia","https://en.wikipedia.org/wiki/University_of_Virginia","Charlottesville","https://en.wikipedia.org/wiki/Charlottesville,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"","","","","","","Inactive","","","","","197x ?–xxxx ?","","","Upsilon Theta"
"Phi Theta","April 4, 1978","University of Arkansas","https://en.wikipedia.org/wiki/University_of_Arkansas","Fayetteville","https://en.wikipedia.org/wiki/Fayetteville,_Arkansas","Active","72","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-104","[","]","","Arkansas","https://en.wikipedia.org/wiki/Arkansas",""
"Chi Theta","February 3, 1979","University of Delaware","https://en.wikipedia.org/wiki/University_of_Delaware","Newark","https://en.wikipedia.org/wiki/Newark,_Delaware","Active","73","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-105","[","]","","Delaware","https://en.wikipedia.org/wiki/Delaware",""
"Psi Theta","April 15, 1978","Cleveland State University","https://en.wikipedia.org/wiki/Cleveland_State_University","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Active","","","","","","Ohio","https://en.wikipedia.org/wiki/Ohio",""
"Omega Theta","February 25, 1979","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Active","74","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-106","[","]","","Kansas","https://en.wikipedia.org/wiki/Kansas","(see Beta Beta first)"
"Alpha Iota","October 5, 1985","California State University, Fresno","https://en.wikipedia.org/wiki/California_State_University,_Fresno","Fresno","https://en.wikipedia.org/wiki/Fresno,_California","Active","75","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-107","[","]","","California","https://en.wikipedia.org/wiki/California",""
"Beta Iota","January 13, 1979","Spelman College","https://en.wikipedia.org/wiki/Spelman_College","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Active","77","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-109","[","]","– 1983, 1993","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)",""
"","","Bucknell University","https://en.wikipedia.org/wiki/Bucknell_University","Lewisburg, Pennsylvania","https://en.wikipedia.org/wiki/Lewisburg,_Pennsylvania","Inactive","","","","","197x ?–xxxx ?","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Gamma Iota"
"Delta Iota","November 25, 1978","University of Tennessee at Martin","https://en.wikipedia.org/wiki/University_of_Tennessee_at_Martin","Martin","https://en.wikipedia.org/wiki/Martin,_Tennessee","Active","78","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-110","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"","","Lewis University","https://en.wikipedia.org/wiki/Lewis_University","Romeoville","https://en.wikipedia.org/wiki/Romeoville,_Illinois","Inactive","","","","","197x ?–xxxx ?","Illinois","https://en.wikipedia.org/wiki/Illinois","Epsilon Iota"
"Zeta Iota","April 21, 1979","State University of New York at Geneseo","https://en.wikipedia.org/wiki/State_University_of_New_York_at_Geneseo","Geneseo","https://en.wikipedia.org/wiki/Geneseo,_New_York","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Eta Iota","1979","University of Wisconsin–Madison","https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison","Madison","https://en.wikipedia.org/wiki/Madison,_Wisconsin","Active","79","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-111","[","]","","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin",""
"Theta Iota","January 1979","University of Northern Colorado","https://en.wikipedia.org/wiki/University_of_Northern_Colorado","Greeley","https://en.wikipedia.org/wiki/Greeley,_Colorado","Active","80","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-112","[","]","","Colorado","https://en.wikipedia.org/wiki/Colorado",""
"Kappa Iota","September 19, 1979","Arizona State University","https://en.wikipedia.org/wiki/Arizona_State_University","Tempe","https://en.wikipedia.org/wiki/Tempe,_Arizona","Active","81","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-113","[","]","","Arizona","https://en.wikipedia.org/wiki/Arizona",""
"Lambda Iota","May 11, 1979","Frostburg State University","https://en.wikipedia.org/wiki/Frostburg_State_University","Frostburg","https://en.wikipedia.org/wiki/Frostburg,_Maryland","Active","82","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-114","[","]","","Maryland","https://en.wikipedia.org/wiki/Maryland",""
"Mu Iota","May 19, 1979","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","Philadelphia","https://en.wikipedia.org/wiki/Philadelphia","Active","83","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-115","[","]","","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania",""
"Nu Iota","1979","Baylor University","https://en.wikipedia.org/wiki/Baylor_University","Waco","https://en.wikipedia.org/wiki/Waco,_Texas","Active","","","","","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Xi Iota","September 22, 1979","Montclair State University","https://en.wikipedia.org/wiki/Montclair_State_University","Montclair","https://en.wikipedia.org/wiki/Montclair,_New_Jersey","Active","84","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-116","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Omicron Iota","November 19, 1979","University of Central Missouri","https://en.wikipedia.org/wiki/University_of_Central_Missouri","Warrensburg","https://en.wikipedia.org/wiki/Warrensburg,_Missouri","Active","","","","","","Missiouri","https://en.wikipedia.org/wiki/Missouri",""
"Pi Iota","December 8, 1979","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Syracuse","https://en.wikipedia.org/wiki/Syracuse,_New_York","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Iota Omincron","1989","Tulane University","https://en.wikipedia.org/wiki/Tulane_University","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Merged","","","","","–19xx ?","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Rho Iota (see"
"","","","","","","Inactive","","","","","19xx ?–xxxx ?","","","Sigma Iota"
"","1980","University of Texas at El Paso","https://en.wikipedia.org/wiki/University_of_Texas_at_El_Paso","El Paso","https://en.wikipedia.org/wiki/El_Paso,_Texas","Inactive","","","","","–xxxx ?","Texas","https://en.wikipedia.org/wiki/Texas","Tau Iota"
"Upsilon Iota","January 5, 1980","University of New Orleans","https://en.wikipedia.org/wiki/University_of_New_Orleans","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Active","85","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-117","[","]","– xxxx ?;","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Phi Iota","February 1, 1980","University of Nebraska–Lincoln","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln","Lincoln","https://en.wikipedia.org/wiki/Lincoln,_Nebraska","Active","86","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-118","[","]","","Nebraska","https://en.wikipedia.org/wiki/Nebraska",""
"Chi Iota","March 31, 1981","College of Charleston","https://en.wikipedia.org/wiki/College_of_Charleston","Charleston","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","Active","","","","","","South Carolina","https://en.wikipedia.org/wiki/South_Carolina",""
"","","","","","","Inactive","","","","","19xx ?–xxxx ?","","","Psi Iota"
"Omega Iota","November 18, 1978","University of North Carolina at Chapel Hill","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Chapel_Hill","Chapel Hill","https://en.wikipedia.org/wiki/Chapel_Hill,_North_Carolina","Active","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?March 2025","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"","","Pittsburg State University","https://en.wikipedia.org/wiki/Pittsburg_State_University","Pittsburg, Kansas","https://en.wikipedia.org/wiki/Pittsburg,_Kansas","Inactive","","","","","19xx ?–xxxx ?","Kansas","https://en.wikipedia.org/wiki/Kansas","Alpha Kappa (see Rho second)"
"","","","","","","Inactive","","","","","19xx ?–xxxx ?","","","Beta Kappa"
"Gamma Kappa","May 17, 1980","Rutgers University–New Brunswick","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93New_Brunswick","New Brunswick","https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey","Active","87","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-120","[","]","","Piscataway","https://en.wikipedia.org/wiki/Piscataway,_New_Jersey","and"
"Delta Kappa","October 9, 1979","Southern Illinois University Edwardsville","https://en.wikipedia.org/wiki/Southern_Illinois_University_Edwardsville","Edwardsville","https://en.wikipedia.org/wiki/Edwardsville,_Illinois","Active","88","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-121","[","]","","Illinois","https://en.wikipedia.org/wiki/Illinois",""
"Epsilon Kappa","April 27, 1980","Purdue University","https://en.wikipedia.org/wiki/Purdue_University","West Lafayette","https://en.wikipedia.org/wiki/West_Lafayette,_Indiana","Active","89","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-122","[","]","","Indiana","https://en.wikipedia.org/wiki/Indiana",""
"Zeta Kappa","March 1, 1980","LIU Post","https://en.wikipedia.org/wiki/LIU_Post","Brookville","https://en.wikipedia.org/wiki/Brookville,_New_York","Active","90","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-123","[","]","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Eta Kappa","May 10, 1980","State University of New York at Old Westbury","https://en.wikipedia.org/wiki/State_University_of_New_York_at_Old_Westbury","Long Island","https://en.wikipedia.org/wiki/Long_Island","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"Theta Kappa","1984","Stony Brook University","https://en.wikipedia.org/wiki/Stony_Brook_University","Stony Brook","https://en.wikipedia.org/wiki/Stony_Brook,_New_York","Active","","","","","","New York","https://en.wikipedia.org/wiki/New_York_(state)",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Iota Kappa"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Kappa Kappa"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Lambda Kappa"
"","May 3, 1980","Indiana University of Pennsylvania","https://en.wikipedia.org/wiki/Indiana_University_of_Pennsylvania","Indiana","https://en.wikipedia.org/wiki/Indiana,_Pennsylvania","Active","","","","","– 2025","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Mu Kappa"
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Nu Kappa"
"Xi Kappa","October 18, 1980","San Diego State University","https://en.wikipedia.org/wiki/San_Diego_State_University","San Diego","https://en.wikipedia.org/wiki/San_Diego","Active","91","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-124","[","]","","California","https://en.wikipedia.org/wiki/California",""
"","1978","Western Illinois University","https://en.wikipedia.org/wiki/Western_Illinois_University","Macomb","https://en.wikipedia.org/wiki/Macomb,_Illinois","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","–20xx ?","Illinois","https://en.wikipedia.org/wiki/Illinois","Omicron Kappa"
"","December 2, 1980","University of Iowa","https://en.wikipedia.org/wiki/University_of_Iowa","Iowa City","https://en.wikipedia.org/wiki/Iowa_City,_Iowa","Inactive","","","","","– 2018 ?","Iowa","https://en.wikipedia.org/wiki/Iowa","Pi Kappa"
"Rho Kappa","1981","Florida State University","https://en.wikipedia.org/wiki/Florida_State_University","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Sigma Kappa","March 29, 1980","Central Michigan University","https://en.wikipedia.org/wiki/Central_Michigan_University","Mount Pleasant","https://en.wikipedia.org/wiki/Mount_Pleasant,_Michigan","Active","","","","","","Michigan","https://en.wikipedia.org/wiki/Michigan",""
"","","Colorado","https://en.wikipedia.org/wiki/Colorado","","","Inactive","","","","","198x ?–xxxx ?","","","Tau Kappa"
"Upsilon Kappa","April 1, 1978","California State University, Fullerton","https://en.wikipedia.org/wiki/California_State_University,_Fullerton","Fullerton","https://en.wikipedia.org/wiki/Fullerton,_California","Active","92","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-125","[","]","","California","https://en.wikipedia.org/wiki/California",""
"","","","","","","Inactive","","","","","198x ?–xxxx ?","","","Phi Kappa"
"Chi Kappa","March 31, 1981","University of Missouri","https://en.wikipedia.org/wiki/University_of_Missouri","Columbia","https://en.wikipedia.org/wiki/Columbia,_Missouri","Active","","","","","","Missouri","https://en.wikipedia.org/wiki/Missouri",""
"Psi Kappa","1995","Delta State University","https://en.wikipedia.org/wiki/Delta_State_University","Cleveland","https://en.wikipedia.org/wiki/Cleveland,_Mississippi","Active","93","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-126","[","]","","Mississippi","https://en.wikipedia.org/wiki/Mississippi",""
"Omega Kappa","March 31, 1981","California State University, Northridge","https://en.wikipedia.org/wiki/California_State_University,_Northridge","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"","1981","Adelphi University","https://en.wikipedia.org/wiki/Adelphi_University","Garden City","https://en.wikipedia.org/wiki/Garden_City,_New_York","Inactive","94","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:34-127","[","]","–xxxx ?","New York","https://en.wikipedia.org/wiki/New_York_(state)","Alpha Lambda"
"Beta Lambda","April 18, 1981","University of Houston–Downtown","https://en.wikipedia.org/wiki/University_of_Houston%E2%80%93Downtown","Houston","https://en.wikipedia.org/wiki/Houston","Active","95","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-129","[","]","","Texas","https://en.wikipedia.org/wiki/Texas",""
"Gamma Lambda","1981","University of Southern California","https://en.wikipedia.org/wiki/University_of_Southern_California","Los Angeles","https://en.wikipedia.org/wiki/Los_Angeles","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"Delta Lambda","February 26, 1972","University of South Alabama","https://en.wikipedia.org/wiki/University_of_South_Alabama","Mobile","https://en.wikipedia.org/wiki/Mobile,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"Epsilon Lambda","1975","Louisiana Tech University","https://en.wikipedia.org/wiki/Louisiana_Tech_University","Ruston","https://en.wikipedia.org/wiki/Ruston,_Louisiana","Active","97","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-131","[","]","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Zeta Lambda","1981","Kean University","https://en.wikipedia.org/wiki/Kean_University","Plainfield","https://en.wikipedia.org/wiki/Plainfield,_New_Jersey","Active","","","","","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
