"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","tablescraper-selected-row href 3","tablescraper-selected-row 7","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8","tablescraper-selected-row 9"
"758","Rho Eta","","Eastern Kentucky University","https://en.wikipedia.org/wiki/Eastern_Kentucky_University","Richmond","https://en.wikipedia.org/wiki/Richmond,_Kentucky","Kentucky","https://en.wikipedia.org/wiki/Kentucky","Active","","","","","","1988"
"759 ?","Rho Theta","March 26, 1988","Northwest Missouri State University","https://en.wikipedia.org/wiki/Northwest_Missouri_State_University","Maryville","https://en.wikipedia.org/wiki/Maryville,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","69","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-122","[","]","",""
"760 ?","Rho Iota","","Tulane University","https://en.wikipedia.org/wiki/Tulane_University","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","","","1989"
"761","Rho Kappa","August 1, 1989","State University of New York at Old Westbury","https://en.wikipedia.org/wiki/State_University_of_New_York_at_Old_Westbury","Old Westbury","https://en.wikipedia.org/wiki/Old_Westbury,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","",""
"762","Rho Mu","","West Texas A&M University","https://en.wikipedia.org/wiki/West_Texas_A%26M_University","Canyon","https://en.wikipedia.org/wiki/Canyon,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","bb","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-123","[","]","Kappa Sigma","1989"
"763","Rho Nu","","Massachusetts Institute of Technology","https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology","Harvard University","https://en.wikipedia.org/wiki/Harvard_University","Cambridge","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts","Active","12","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:6-20","[","]","Alpha Eta","1989"
"764 ?","Rho Xi","November 11, 1989","Saint Leo University","https://en.wikipedia.org/wiki/Saint_Leo_University","St. Leo","https://en.wikipedia.org/wiki/St._Leo,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","","",""
"","","","East Tennessee State University","https://en.wikipedia.org/wiki/East_Tennessee_State_University","Johnson City","https://en.wikipedia.org/wiki/Johnson_City,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Inactive","","","","","Sigma Beta","1989–xxxx ?"
"765","Rho Omicron","August 7, 1990","United States Military Academy","https://en.wikipedia.org/wiki/United_States_Military_Academy","West Point","https://en.wikipedia.org/wiki/West_Point,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","",""
"766","Rho Pi","August 1990","PennWest Edinboro","https://en.wikipedia.org/wiki/PennWest_Edinboro","Slippery Rock University","https://en.wikipedia.org/wiki/Slippery_Rock_University","Edinboro","https://en.wikipedia.org/wiki/Edinboro,_Pennsylvania","Active","57","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:16-103","[","]","Xi Mu",""
