"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 8"
"Lambda Alpha Zeta","September 21, 1981","Seattle","https://en.wikipedia.org/wiki/Seattle","Washington","https://en.wikipedia.org/wiki/Washington_(state)","Active","217","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-269","[","]",""
"Mu Alpha Zeta","","Marion County","https://en.wikipedia.org/wiki/Marion_County,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","","","","",""
"Nu Alpha Zeta","September 18, 1984","Hickory","https://en.wikipedia.org/wiki/Hickory,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","","","","",""
"Xi Alpha Zeta","","Peoria","https://en.wikipedia.org/wiki/Peoria,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","","","","",""
"Omicron Alpha Zeta","","Americus","https://en.wikipedia.org/wiki/Americus,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","",""
"Pi Alpha Zeta","January 4, 1995","Portland","https://en.wikipedia.org/wiki/Portland,_Oregon","Oregon","https://en.wikipedia.org/wiki/Oregon","Active","218","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-270","[","]",""
"Rho Alpha Zeta","","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","","","","",""
"Sigma Alpha Zeta","July 12, 2000","Sturtevant","https://en.wikipedia.org/wiki/Sturtevant,_Wisconsin","Wisconsin","https://en.wikipedia.org/wiki/Wisconsin","Active","","","","",""
"Tau Alpha Zeta","March 30, 2003","Richton Park","https://en.wikipedia.org/wiki/Richton_Park,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","219","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-271","[","]",""
"Upsilon Alpha Zeta","","Pembroke Pines","https://en.wikipedia.org/wiki/Pembroke_Pines,_Florida","Miramar","https://en.wikipedia.org/wiki/Miramar,_Florida","Active","","","","","Florida"
"Phi Alpha Zeta","March 16, 2007","White Plains","https://en.wikipedia.org/wiki/White_Plains,_Maryland","Charles County","https://en.wikipedia.org/wiki/Charles_County,_Maryland","Active","220","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:13-272","[","]","Maryland"
