"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Alpha","1911","Indiana University Bloomington","https://en.wikipedia.org/wiki/Indiana_University_Bloomington","Bloomington, IN","https://en.wikipedia.org/wiki/Bloomington,_IN","Active",""
"Beta","1913","","","Champaign, IL","https://en.wikipedia.org/wiki/Champaign,_IL","Active","Was originally the University of Illinois but in 1982 became the University of Illinois at Urbana-Champaign. Beta also hosted the Grand Chapter Meeting where the fraternity name was changed from Kappa Alpha Nu to Kappa Alpha Psi."
"Gamma","1914","University of Iowa","https://en.wikipedia.org/wiki/University_of_Iowa","Iowa City, IA","https://en.wikipedia.org/wiki/Iowa_City,_IA","Active",""
"Delta","1915","Wilberforce University","https://en.wikipedia.org/wiki/Wilberforce_University","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active","The Delta Chapter was founded by Elder Watson Diggs in 1915.  The Delta Chapter was the last Chapter chartered under the fraternity's original name, Kappa Alpha Nu, and the first chapter designated after the fraternity's name change to Kappa Alpha Psi. Delta was the first chapter established at an ."
"Epsilon","1915","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","","","Active","The Epsilon Chapter is the first chapter founded on the east coast thus giving it the nickname ""The Star of the East""."
"Zeta","1915","Ohio State University","https://en.wikipedia.org/wiki/Ohio_State_University","Columbus, OH","https://en.wikipedia.org/wiki/Columbus,_OH","Active",""
"Eta","1916","University of Nebraska–Lincoln","https://en.wikipedia.org/wiki/University_of_Nebraska%E2%80%93Lincoln","Lincoln, NE","https://en.wikipedia.org/wiki/Lincoln,_NE","Active",""
"Theta","1917","Northwestern University","https://en.wikipedia.org/wiki/Northwestern_University","Evanston, IL","https://en.wikipedia.org/wiki/Evanston,_IL","Active",""
"Iota","1918","University of Chicago","https://en.wikipedia.org/wiki/University_of_Chicago","","","Active",""
"Kappa","1919","Meharry Medical College","https://en.wikipedia.org/wiki/Meharry_Medical_College","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active","The first ""Intermediate Chapter"" (Chapters chartered at degree-granting professional or post-graduate institutions which generally require entering students to have earned a bachelor's degree as a condition of admission) in the fraternity. Others being Theta Tau & Kappa Zeta."
"Lambda","1920","Temple University","https://en.wikipedia.org/wiki/Temple_University","","","Active",""
"Mu","1920","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence, KS","https://en.wikipedia.org/wiki/Lawrence,_KS","Active",""
"Nu","1920","Purdue University","https://en.wikipedia.org/wiki/Purdue_University","West Lafayette, IN","https://en.wikipedia.org/wiki/West_Lafayette,_IN","Active",""
"Xi","1920","Howard University","https://en.wikipedia.org/wiki/Howard_University","","","Active",""
"Omicron","1921","Columbia University","https://en.wikipedia.org/wiki/Columbia_University","","","Active","School's full title is Columbia University in the City of New York"
"Pi","1921","Morehouse College","https://en.wikipedia.org/wiki/Morehouse_College","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","The Pi Chapter was the first chapter of Kappa Alpha Psi in the Deep South."
"Rho","1921","Washburn University","https://en.wikipedia.org/wiki/Washburn_University","Topeka, KS","https://en.wikipedia.org/wiki/Topeka,_KS","Active",""
"Sigma","1922","University of Michigan","https://en.wikipedia.org/wiki/University_of_Michigan","Ann Arbor, MI","https://en.wikipedia.org/wiki/Ann_Arbor,_MI","Active",""
"Tau","1923","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Institute, WV","https://en.wikipedia.org/wiki/Institute,_WV","Active","Was originally West Virginia Collegiate Institute but in 1929 became West Virginia State College; in 2004 became West Virginia State University"
"Upsilon","1923","University of California, Los Angeles","https://en.wikipedia.org/wiki/University_of_California,_Los_Angeles","Los Angeles, CA","https://en.wikipedia.org/wiki/Los_Angeles,_CA","Active","and  are also a part of the Upsilon Chapter"
"Phi","1924","University at Buffalo","https://en.wikipedia.org/wiki/University_at_Buffalo","Buffalo, NY","https://en.wikipedia.org/wiki/Buffalo,_NY","Active","City-wide chapter. Includes"
"Chi","1924","Boston University","https://en.wikipedia.org/wiki/Boston_University","Boston, MA","https://en.wikipedia.org/wiki/Boston,_MA","Active",""
"Psi","1924","University of Minnesota","https://en.wikipedia.org/wiki/University_of_Minnesota","Minneapolis, MN","https://en.wikipedia.org/wiki/Minneapolis,_MN","Active",""
"Omega","1925","Drake University","https://en.wikipedia.org/wiki/Drake_University","Des Moines, IA","https://en.wikipedia.org/wiki/Des_Moines,_IA","Active","Collective chapter for Drake University &"
"Alpha Beta","1927","Wayne State University","https://en.wikipedia.org/wiki/Wayne_State_University","Detroit, MI","https://en.wikipedia.org/wiki/Detroit,_MI","Active","Was originally the College of the City of Detroit. In 1934 became Wayne University; in 1956 became Wayne State University"
"Alpha Gamma","1927","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Richmond, VA","https://en.wikipedia.org/wiki/Richmond,_VA","Active",""
"Alpha Delta","1927","Fisk University","https://en.wikipedia.org/wiki/Fisk_University","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active",""
"Alpha Epsilon","1927","Johnson C. Smith University","https://en.wikipedia.org/wiki/Johnson_C._Smith_University","Charlotte, NC","https://en.wikipedia.org/wiki/Charlotte,_NC","Active","Part of Middle Eastern Province; when chartered, came under Southeastern Province."
"Alpha Zeta","1928","Indiana State University","https://en.wikipedia.org/wiki/Indiana_State_University","Terre Haute, IN","https://en.wikipedia.org/wiki/Terre_Haute,_IN","Active",""
"Alpha Eta","1929","University of Nebraska Omaha","https://en.wikipedia.org/wiki/University_of_Nebraska_Omaha","Omaha, NE","https://en.wikipedia.org/wiki/Omaha,_NE","Active","Collective chapter for University of Nebraska Omaha & Creighton University"
"Alpha Theta","1931","Tennessee State University","https://en.wikipedia.org/wiki/Tennessee_State_University","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active",""
"Alpha Iota","1931","Morgan State University","https://en.wikipedia.org/wiki/Morgan_State_University","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD","Active",""
"Alpha Kappa","1931","North Carolina Central University","https://en.wikipedia.org/wiki/North_Carolina_Central_University","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC","Active",""
"Alpha Lambda","1931","South Carolina State University","https://en.wikipedia.org/wiki/South_Carolina_State_University","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC","Active",""
"Alpha Mu","1932","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Missouri)","Jefferson City, MO","https://en.wikipedia.org/wiki/Jefferson_City,_MO","Active","Replaced temporarily by the Rho Eta Chapter chartered in 2013. Reactivated in 2023."
"Alpha Nu","1933","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro, NC","https://en.wikipedia.org/wiki/Greensboro,_NC","Active",""
"Alpha Xi","1933","Florida A&M University","https://en.wikipedia.org/wiki/Florida_A%26M_University","Tallahassee, FL","https://en.wikipedia.org/wiki/Tallahassee,_FL","Active",""
"Alpha Omicron","1933","University of Louisville","https://en.wikipedia.org/wiki/University_of_Louisville","Louisville, KY","https://en.wikipedia.org/wiki/Louisville,_KY","Active","Originally chartered at  (1931-1951), this liberal arts college was established for African American students before desegregation, under the administration of the University of Louisville's Board of Trustees. The college closed after the Board of Trustees voted to desegregate UofL. In 1955, the charter was transferred to the UofL."
"Alpha Pi","1933","Langston University","https://en.wikipedia.org/wiki/Langston_University","Langston, OK","https://en.wikipedia.org/wiki/Langston,_OK","Active","Was originally the Colored Agricultural and Normal University but in 1941, became Langston University"
"Alpha Rho","1934","","","Chicago, IL","https://en.wikipedia.org/wiki/Chicago,_IL","Letters Retired","Illinois Institute of Technology was formed in 1940 by the merger of Armour Institute of Technology (founded in 1890) and Lewis Institute (founded in 1895). Replaced by the Kappa Phi Chapter chartered in 1981."
"Alpha Sigma","1935","Southern University","https://en.wikipedia.org/wiki/Southern_University","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA","Active",""
"Alpha Tau","1935","Bluefield State University","https://en.wikipedia.org/wiki/Bluefield_State_University","Bluefield, WV","https://en.wikipedia.org/wiki/Bluefield,_WV","Active","Was originally Bluefield State Teachers College. In 1943 became Bluefield State College; in 2022 became Bluefield State University"
"Alpha Upsilon","1935","Kentucky State University","https://en.wikipedia.org/wiki/Kentucky_State_University","Frankfort, KY","https://en.wikipedia.org/wiki/Frankfort,_KY","Active","Was originally Kentucky State Industrial College for Colored Persons but in 1938 became Kentucky State College for Negroes. The term ""for Negroes"" was dropped in 1952. Kentucky State College became a university in 1972."
"Alpha Phi","1935","Virginia State University","https://en.wikipedia.org/wiki/Virginia_State_University","Petersburg, VA","https://en.wikipedia.org/wiki/Petersburg,_VA","Active",""
"Alpha Chi","1935","Wiley University","https://en.wikipedia.org/wiki/Wiley_University","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","Active",""
"Alpha Psi","1936","Pittsburg State University","https://en.wikipedia.org/wiki/Pittsburg_State_University","","","Active","Was originally the Kansas State Teachers College of Pittsburg but in 1959 became Kansas State College of Pittsburg; in 1977 it became Pittsburg State University — also known as Pitt State or PSU."
"Alpha Omega","1936","Cleveland State University","https://en.wikipedia.org/wiki/Cleveland_State_University","Cleveland, OH","https://en.wikipedia.org/wiki/Cleveland,_OH","Active","Was originally chartered on the campus of  in 1936. The chapter was reactivated on the campus of Cleveland State University on November 20, 1971. This is where the charter is currently established. City wide chapter for Cleveland, OH which includes but is not limited to: Cleveland State University, Case Western Reserve University, John Carroll University, Notre Dame College and Ursuline College."
"Beta Beta","1937","Texas College","https://en.wikipedia.org/wiki/Texas_College","Tyler, TX","https://en.wikipedia.org/wiki/Tyler,_TX","Active",""
"Beta Gamma","1937","Dillard University","https://en.wikipedia.org/wiki/Dillard_University","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active",""
"Beta Delta","1937","Morris Brown College","https://en.wikipedia.org/wiki/Morris_Brown_College","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active",""
"Beta Epsilon","1937","University of Pittsburgh","https://en.wikipedia.org/wiki/University_of_Pittsburgh","Pittsburgh, PA","https://en.wikipedia.org/wiki/Pittsburgh,_PA","Active",""
"Beta Zeta","1938","Alabama State University","https://en.wikipedia.org/wiki/Alabama_State_University","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active",""
"Beta Eta","1939","University of Cincinnati","https://en.wikipedia.org/wiki/University_of_Cincinnati","Cincinnati, OH","https://en.wikipedia.org/wiki/Cincinnati,_OH","Active",""
"Beta Theta","1939","University of Colorado Boulder","https://en.wikipedia.org/wiki/University_of_Colorado_Boulder","Boulder, CO","https://en.wikipedia.org/wiki/Boulder,_CO","Active","Beta Theta was a ""hybrid"" chapter that included both undergraduate and alumni members until Denver Alumni was chartered fifteen years later."
"Beta Iota","1939","Xavier University of Louisiana","https://en.wikipedia.org/wiki/Xavier_University_of_Louisiana","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active",""
"Beta Kappa","1940","University of the District of Columbia","https://en.wikipedia.org/wiki/University_of_the_District_of_Columbia","","","Active",""
"Beta Lambda","1940","Lane College","https://en.wikipedia.org/wiki/Lane_College","Jackson, TN","https://en.wikipedia.org/wiki/Jackson,_TN","Active",""
"Beta Mu","1940","","","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN","Active",""
"Beta Nu","1942","Harris–Stowe State University","https://en.wikipedia.org/wiki/Harris%E2%80%93Stowe_State_University","St. Louis, MO","https://en.wikipedia.org/wiki/St._Louis,_MO","Active","City-wide chapter. Includes , , , ,"
"Beta Xi","1942","University of Toledo","https://en.wikipedia.org/wiki/University_of_Toledo","Toledo, OH","https://en.wikipedia.org/wiki/Toledo,_OH","Active",""
"Beta Omicron","1946","University of Wisconsin–Madison","https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison","Madison, WI","https://en.wikipedia.org/wiki/Madison,_WI","Active",""
"Beta Pi","1946","Youngstown State University","https://en.wikipedia.org/wiki/Youngstown_State_University","Youngstown, OH","https://en.wikipedia.org/wiki/Youngstown,_OH","Inactive","Was originally Youngstown College but in 1955 became Youngstown University; in 1967 became Youngstown State University (YSU)"
"Beta Rho","1947","Allen University","https://en.wikipedia.org/wiki/Allen_University","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Active",""
"Beta Sigma","1947","Delaware State University","https://en.wikipedia.org/wiki/Delaware_State_University","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE","Letters Retired","Was originally Delaware State College but in 1993 became Delaware State University. Replaced by the Pi Eta Chapter chartered in 2007."
"Beta Tau","1947","Philander Smith University","https://en.wikipedia.org/wiki/Philander_Smith_University","Little Rock, AR","https://en.wikipedia.org/wiki/Little_Rock,_AR","Active",""
"Beta Upsilon","1947","Texas Southern University","https://en.wikipedia.org/wiki/Texas_Southern_University","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Active","Was originally Texas State University for Negroes but in 1951 became Texas Southern University"
"Beta Phi","1947","Knoxville College","https://en.wikipedia.org/wiki/Knoxville_College","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN","Active",""
"Beta Chi","1947","Hampton University","https://en.wikipedia.org/wiki/Hampton_University","Hampton, VA","https://en.wikipedia.org/wiki/Hampton,_VA","Active","Was originally Hampton Institute but in 1984 became Hampton University"
"Beta Psi","1947","Kansas State University","https://en.wikipedia.org/wiki/Kansas_State_University","Manhattan, KS","https://en.wikipedia.org/wiki/Manhattan,_KS","Active",""
"Beta Omega","1947","University of Southern California","https://en.wikipedia.org/wiki/University_of_Southern_California","Los Angeles, CA","https://en.wikipedia.org/wiki/Los_Angeles,_CA","Active","and  are also a part of the Beta Omega Chapter"
"Gamma Alpha","1947","University of California, Berkeley","https://en.wikipedia.org/wiki/University_of_California,_Berkeley","Berkeley, CA","https://en.wikipedia.org/wiki/Berkeley,_CA","Active","Collective chapter for UC Berkeley,  and"
"Gamma Beta","1948","Western Michigan University","https://en.wikipedia.org/wiki/Western_Michigan_University","Kalamazoo, MI","https://en.wikipedia.org/wiki/Kalamazoo,_MI","Active","Originally; Western State Normal School, today known as Western Michigan University. The Gamma Beta chapter was influential in the chartering of the Epsilon Tau Chapter Of Kappa Alpha Psi."
"Gamma Gamma","1948","Talladega College","https://en.wikipedia.org/wiki/Talladega_College","Talladega, AL","https://en.wikipedia.org/wiki/Talladega,_AL","Active",""
"Gamma Delta","1948","Livingstone College","https://en.wikipedia.org/wiki/Livingstone_College","Salisbury, NC","https://en.wikipedia.org/wiki/Salisbury,_NC","Active",""
"Gamma Epsilon","1948","Tuskegee University","https://en.wikipedia.org/wiki/Tuskegee_University","Tuskegee, AL","https://en.wikipedia.org/wiki/Tuskegee,_AL","Active","Was originally Tuskegee Institute but in 1985 became Tuskegee University"
"Gamma Zeta","1948","Fort Valley State University","https://en.wikipedia.org/wiki/Fort_Valley_State_University","Fort Valley, GA","https://en.wikipedia.org/wiki/Fort_Valley,_GA","Active","Was originally Fort Valley State College, but in 1996 became Fort Valley State University (FVSU)"
"Gamma Eta","1948","University of Washington","https://en.wikipedia.org/wiki/University_of_Washington","Seattle, WA","https://en.wikipedia.org/wiki/Seattle,_WA","Active",""
"Gamma Theta","1948","","","Daytona Beach, FL","https://en.wikipedia.org/wiki/Daytona_Beach,_FL","Active","Was originally Bethune-Cookman College but in 2007 became Bethune-Cookman University (BCU)"
"Gamma Iota","1948","Arizona State University","https://en.wikipedia.org/wiki/Arizona_State_University","Tempe, AZ","https://en.wikipedia.org/wiki/Tempe,_AZ","Active",""
"Gamma Kappa","1948","Clark Atlanta University","https://en.wikipedia.org/wiki/Clark_Atlanta_University","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","Was originally Clark College but in 1988 became Clark Atlanta University (CAU)"
"Gamma Lambda","1949","Huston–Tillotson University","https://en.wikipedia.org/wiki/Huston%E2%80%93Tillotson_University","Austin, TX","https://en.wikipedia.org/wiki/Austin,_TX","Active","In 1952 Tillotson College and Samuel Huston College merged to form Huston–Tillotson College; in 2005 became Huston–Tillotson University"
"Gamma Mu","1949","Benedict College","https://en.wikipedia.org/wiki/Benedict_College","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Active",""
"Gamma Nu","1949","Claflin University","https://en.wikipedia.org/wiki/Claflin_University","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC","Active",""
"Gamma Xi","1949","University of Maryland Eastern Shore","https://en.wikipedia.org/wiki/University_of_Maryland_Eastern_Shore","Princess Anne, MD","https://en.wikipedia.org/wiki/Princess_Anne,_MD","Letters Retired","Was originally Maryland State College but in 1970 became University of Maryland Eastern Shore (UMES). Replaced by the Pi Nu Chapter chartered in 2008."
"Gamma Omicron","1949","Saint Augustine's University","https://en.wikipedia.org/wiki/St._Augustine%27s_University_(North_Carolina)","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Active",""
"Gamma Pi","1949","Alcorn State University","https://en.wikipedia.org/wiki/Alcorn_State_University","Lorman, MS","https://en.wikipedia.org/wiki/Lorman,_MS","Active",""
"Gamma Rho","1949","Tougaloo College","https://en.wikipedia.org/wiki/Tougaloo_College","","","Active",""
"Gamma Sigma","1949","University of Arkansas at Pine Bluff","https://en.wikipedia.org/wiki/University_of_Arkansas_at_Pine_Bluff","Pine Bluff, AR","https://en.wikipedia.org/wiki/Pine_Bluff,_AR","Active",""
"Gamma Tau","1949","Kent State University","https://en.wikipedia.org/wiki/Kent_State_University","Kent, OH","https://en.wikipedia.org/wiki/Kent,_OH","Active",""
"Gamma Upsilon","1950","Southern Illinois University Carbondale","https://en.wikipedia.org/wiki/Southern_Illinois_University_Carbondale","Carbondale, IL","https://en.wikipedia.org/wiki/Carbondale,_IL","Active",""
"Gamma Phi","1950","Alabama A&M University","https://en.wikipedia.org/wiki/Alabama_A%26M_University","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL","Active",""
"Gamma Chi","1950","Savannah State University","https://en.wikipedia.org/wiki/Savannah_State_University","Savannah, GA","https://en.wikipedia.org/wiki/Savannah,_GA","Active","Was originally Savannah State College but in 1996 became Savannah State University"
"Gamma Psi","1950","Grambling State University","https://en.wikipedia.org/wiki/Grambling_State_University","Grambling, LA","https://en.wikipedia.org/wiki/Grambling,_LA","Active","Was originally Colored Industrial and Agricultural School (1901),  North Louisiana Agricultural and Industrial School (1905), Louisiana Negro Normal and Industrial Institute (1928), Grambling College (1946)."
"Gamma Omega","1950","","","","","Active","Was originally Cheyney Training School for Teachers but in 1951 became Cheyney State Teacher's College; in 1959 it became Cheyney State College; and, in 1983, Cheyney University of Pennsylvania;— commonly known as Cheyney University"
"Delta Alpha","1950","Portland State University","https://en.wikipedia.org/wiki/Portland_State_University","Portland, OR","https://en.wikipedia.org/wiki/Portland,_OR","Active","Includes (But not limited to) , , , ,  and"
"Delta Beta","1951","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Syracuse, NY","https://en.wikipedia.org/wiki/Syracuse,_NY","Active","and  are also a part of the Delta Beta chapter"
"Delta Gamma","1951","Shaw University","https://en.wikipedia.org/wiki/Shaw_University","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Active",""
"Delta Delta","1951","Jackson State University","https://en.wikipedia.org/wiki/Jackson_State_University","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS","Active",""
"Delta Epsilon","1951","San Diego State University","https://en.wikipedia.org/wiki/San_Diego_State_University","San Diego, CA","https://en.wikipedia.org/wiki/San_Diego,_CA","Active",""
"Delta Zeta","1952","Central State University","https://en.wikipedia.org/wiki/Central_State_University","Wilberforce, OH","https://en.wikipedia.org/wiki/Wilberforce,_OH","Active",""
"Delta Eta","1952","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","","","Active","Collective chapter for , , , , and"
"Delta Theta","1952","Pennsylvania State University","https://en.wikipedia.org/wiki/Pennsylvania_State_University","University Park, PA","https://en.wikipedia.org/wiki/University_Park,_PA","Active","Was originally Pennsylvania State College but in 1953 became Pennsylvania State University;— also known as Penn State or PSU"
"Delta Iota","1953","Ball State University","https://en.wikipedia.org/wiki/Ball_State_University","Muncie, IN","https://en.wikipedia.org/wiki/Muncie,_IN","Active",""
"Delta Kappa","1954","Marquette University","https://en.wikipedia.org/wiki/Marquette_University","Milwaukee, WI","https://en.wikipedia.org/wiki/Milwaukee,_WI","Active","This chapter also covers  and"
"Delta Lambda","1954","","","Lawrenceville, VA","https://en.wikipedia.org/wiki/Lawrenceville,_VA","Inactive","School ceased operations on June 30, 2013"
"Delta Mu","1955","Long Island University Brooklyn","https://en.wikipedia.org/wiki/LIU_Brooklyn","Brooklyn, NY","https://en.wikipedia.org/wiki/Brooklyn,_NY","Active",""
"Delta Nu","1955","Eastern Michigan University","https://en.wikipedia.org/wiki/Eastern_Michigan_University","Ypsilanti, MI","https://en.wikipedia.org/wiki/Ypsilanti,_MI","Active","Founded in 1849, Michigan State Normal College became Eastern Michigan University (EMU) in 1956."
"Delta Xi","1956","Albany State University","https://en.wikipedia.org/wiki/Albany_State_University","Albany, GA","https://en.wikipedia.org/wiki/Albany,_GA","Active","Was originally Albany State College but in 1996 became Albany State University"
"Delta Omicron","1956","University of Arizona","https://en.wikipedia.org/wiki/University_of_Arizona","Tucson, AZ","https://en.wikipedia.org/wiki/Tucson,_AZ","Active",""
"Delta Pi","1956","Michigan State University","https://en.wikipedia.org/wiki/Michigan_State_University","East Lansing, MI","https://en.wikipedia.org/wiki/East_Lansing,_MI","Active",""
"Delta Rho","1956","San Jose State University","https://en.wikipedia.org/wiki/San_Jose_State_University","San Jose, CA","https://en.wikipedia.org/wiki/San_Jose,_CA","Active","Was originally San Jose State College, then the school name was changed to California State University, San Jose, and finally, San Jose State University"
"Delta Sigma","1956","Bishop College","https://en.wikipedia.org/wiki/Bishop_College","Marshall, TX","https://en.wikipedia.org/wiki/Marshall,_TX","Inactive","Bishop College moved to Dallas in 1961; the college closed in 1988"
"Delta Tau","1957","Miles College","https://en.wikipedia.org/wiki/Miles_College","Birmingham, AL","https://en.wikipedia.org/wiki/Birmingham,_AL","Active",""
"Delta Upsilon","1958","Wichita State University","https://en.wikipedia.org/wiki/Wichita_State_University","Wichita, KS","https://en.wikipedia.org/wiki/Wichita,_KS","Active","Started out as the Municipal University of Wichita then became known as Wichita University (WU); in 1964 it became Wichita State University (WSU)"
"Delta Phi","1958","Indiana Institute of Technology","https://en.wikipedia.org/wiki/Indiana_Institute_of_Technology","Fort Wayne, IN","https://en.wikipedia.org/wiki/Fort_Wayne,_IN","Active",""
"Delta Chi","1960","Winston-Salem State University","https://en.wikipedia.org/wiki/Winston-Salem_State_University","Winston-Salem, NC","https://en.wikipedia.org/wiki/Winston-Salem,_NC","Active","Was originally Winston-Salem Teachers College but in 1969 became Winston-Salem State University"
"Delta Psi","1960","Edward Waters University","https://en.wikipedia.org/wiki/Edward_Waters_University","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Active",""
"Delta Omega","1961","University of Missouri","https://en.wikipedia.org/wiki/University_of_Missouri","Columbia, MO","https://en.wikipedia.org/wiki/Columbia,_MO","Active",""
"Epsilon Alpha","1961","Elizabeth City State University","https://en.wikipedia.org/wiki/Elizabeth_City_State_University","Elizabeth City, NC","https://en.wikipedia.org/wiki/Elizabeth_City,_NC","Active",""
"Epsilon Beta","1962","Fayetteville State University","https://en.wikipedia.org/wiki/Fayetteville_State_University","Fayetteville, NC","https://en.wikipedia.org/wiki/Fayetteville,_NC","Active",""
"Epsilon Gamma","1963","University of Central Oklahoma","https://en.wikipedia.org/wiki/University_of_Central_Oklahoma","Edmond, OK","https://en.wikipedia.org/wiki/Edmond,_OK","Active","Was originally Central State College but in 1971 became Central State University; in 1991 became University of Central Oklahoma (UCO)"
"Epsilon Delta","1962","Marshall University","https://en.wikipedia.org/wiki/Marshall_University","Huntington, WV","https://en.wikipedia.org/wiki/Huntington,_WV","Active",""
"Epsilon Epsilon","1963","Stillman College","https://en.wikipedia.org/wiki/Stillman_College","Tuscaloosa, AL","https://en.wikipedia.org/wiki/Tuscaloosa,_AL","Active",""
"Epsilon Zeta","1963","Norfolk State University","https://en.wikipedia.org/wiki/Norfolk_State_University","Norfolk, VA","https://en.wikipedia.org/wiki/Norfolk,_VA","Active",""
"Epsilon Eta","1963","Truman State University","https://en.wikipedia.org/wiki/Truman_State_University","Kirksville, MO","https://en.wikipedia.org/wiki/Kirksville,_MO","Active","Was originally Northeast Missouri State Teachers College but in 1968 became Northeast Missouri State College; in 1972 became Northeast Missouri State University; in 1996 became Truman State University"
"Epsilon Theta","1964","Idaho State University","https://en.wikipedia.org/wiki/Idaho_State_University","Pocatello, ID","https://en.wikipedia.org/wiki/Pocatello,_ID","Active",""
"Epsilon Iota","1965","University of Evansville","https://en.wikipedia.org/wiki/University_of_Evansville","Evansville, IN","https://en.wikipedia.org/wiki/Evansville,_IN","Active",""
"Epsilon Kappa","1965","California State University, Long Beach","https://en.wikipedia.org/wiki/California_State_University,_Long_Beach","Long Beach, CA","https://en.wikipedia.org/wiki/Long_Beach,_CA","Active","Was originally California State College at Long Beach but in 1968 became California State College, Long Beach; in 1972 became California State University, Long Beach (CSULB)"
"Epsilon Lambda","1966","Ohio University","https://en.wikipedia.org/wiki/Ohio_University","Athens, OH","https://en.wikipedia.org/wiki/Athens,_OH","Active",""
"Epsilon Mu","1966","Florida Memorial University","https://en.wikipedia.org/wiki/Florida_Memorial_University","Miami Gardens, FL","https://en.wikipedia.org/wiki/Miami_Gardens,_FL","Active","Was originally Florida Memorial College but in 2004 became Florida Memorial University"
"Epsilon Nu","1968","Southern University at New Orleans","https://en.wikipedia.org/wiki/Southern_University_at_New_Orleans","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active",""
"Epsilon Xi","1968","Northern Michigan University","https://en.wikipedia.org/wiki/Northern_Michigan_University","Marquette, MI","https://en.wikipedia.org/wiki/Marquette,_MI","Active",""
"Epsilon Omicron","1968","Northern Illinois University","https://en.wikipedia.org/wiki/Northern_Illinois_University","Dekalb, IL","https://en.wikipedia.org/wiki/Dekalb,_IL","Active",""
"Epsilon Pi","1968","West Texas A&M University","https://en.wikipedia.org/wiki/West_Texas_A%26M_University","Canyon, TX","https://en.wikipedia.org/wiki/Canyon,_TX","Active","Was originally West Texas State University but in 1990 became West Texas A&M University (WTAMU)"
"Epsilon Rho","1969","Western Kentucky University","https://en.wikipedia.org/wiki/Western_Kentucky_University","Bowling Green, KY","https://en.wikipedia.org/wiki/Bowling_Green,_KY","Active",""
"Epsilon Sigma","1969","Bowie State University","https://en.wikipedia.org/wiki/Bowie_State_University","Bowie, MD","https://en.wikipedia.org/wiki/Bowie,_MD","Active",""
"Epsilon Tau","1969","Ferris State University","https://en.wikipedia.org/wiki/Ferris_State_University","Big Rapids, MI","https://en.wikipedia.org/wiki/Big_Rapids,_MI","Active",""
"Epsilon Upsilon","1969","Northern Arizona University","https://en.wikipedia.org/wiki/Northern_Arizona_University","Flagstaff, AZ","https://en.wikipedia.org/wiki/Flagstaff,_AZ","Inactive",""
"Epsilon Phi","1969","McNeese State University","https://en.wikipedia.org/wiki/McNeese_State_University","Lake Charles, LA","https://en.wikipedia.org/wiki/Lake_Charles,_LA","Active",""
"Epsilon Chi","1970","West Virginia University","https://en.wikipedia.org/wiki/West_Virginia_University","Morgantown, WV","https://en.wikipedia.org/wiki/Morgantown,_WV","Active",""
"Epsilon Psi","1970","Paine College","https://en.wikipedia.org/wiki/Paine_College","Augusta, GA","https://en.wikipedia.org/wiki/Augusta,_GA","Active",""
