"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Nu Zeta","1987","","","Edinboro, PA","https://en.wikipedia.org/wiki/Edinboro,_PA","Active","Formerly known as Edinboro University of Pennsylvania, the institution merged in 2021 with two other universities to become part of Pennsylvania Western University."
"Nu Eta","1988","Delta State University","https://en.wikipedia.org/wiki/Delta_State_University","Cleveland, MS","https://en.wikipedia.org/wiki/Cleveland,_MS","Active",""
"Nu Theta","1988","Elon University","https://en.wikipedia.org/wiki/Elon_University","Elon, NC","https://en.wikipedia.org/wiki/Elon,_NC","Active","Was originally Elon College but in 2001 became Elon University"
"Nu Iota","1988","Louisiana State University","https://en.wikipedia.org/wiki/Louisiana_State_University","Baton Rouge, LA","https://en.wikipedia.org/wiki/Baton_Rouge,_LA","Active",""
"Nu Kappa","1988","University of Northern Iowa","https://en.wikipedia.org/wiki/University_of_Northern_Iowa","Cedar Falls, IA","https://en.wikipedia.org/wiki/Cedar_Falls,_IA","Active",""
"Nu Lambda","1988","James Madison University","https://en.wikipedia.org/wiki/James_Madison_University","Harrisonburg, VA","https://en.wikipedia.org/wiki/Harrisonburg,_VA","Active",""
"Nu Mu","1988","University of Alabama in Huntsville","https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL","Active","Was a colony of the Gamma Phi chapter from 1981-1988."
"Nu Nu","1988","University of South Carolina Aiken","https://en.wikipedia.org/wiki/University_of_South_Carolina_Aiken","Aiken, SC","https://en.wikipedia.org/wiki/Aiken,_SC","Active",""
"Nu Xi","1989","University of Delaware","https://en.wikipedia.org/wiki/University_of_Delaware","Newark, DE","https://en.wikipedia.org/wiki/Newark,_DE","Active","Was originally a colony of the Beta Sigma Chapter at Delaware State University, from 1975 until 1988."
"Nu Omicron","1989","University of North Carolina at Pembroke","https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Pembroke","Pembroke, NC","https://en.wikipedia.org/wiki/Pembroke,_NC","Active","Was originally Pembroke State University but in 1996 became The University of North Carolina at Pembroke"
"Nu Pi","1989","Rensselaer Polytechnic Institute","https://en.wikipedia.org/wiki/Rensselaer_Polytechnic_Institute","Troy, NY","https://en.wikipedia.org/wiki/Troy,_NY","Active",""
"Nu Rho","1989","Vanderbilt University","https://en.wikipedia.org/wiki/Vanderbilt_University","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active",""
"Nu Sigma","1989","California State University, East Bay","https://en.wikipedia.org/wiki/California_State_University,_East_Bay","Hayward, CA","https://en.wikipedia.org/wiki/Hayward,_CA","Active","Was originally California State University, Hayward but in 2005 the name was changed to California State University, East Bay"
