"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"","November 3, 1928","Tuskegee","https://en.wikipedia.org/wiki/Tuskegee,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","134","Alpha Nu Lambda",""
"","November 3, 1928","Toledo","https://en.wikipedia.org/wiki/Toledo,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","124","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-189","[","]","135","Alpha Xi Lambda",""
"","April 5, 1928","Pittsburgh","https://en.wikipedia.org/wiki/Pittsburgh","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Active","10","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:23-16","[","]","247","Alpha Omicron Lambda",""
"","June 1, 1931","Winston-Salem","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","137","Alpha Pi Lambda",""
"","December 21, 1929","Columbus","https://en.wikipedia.org/wiki/Columbus,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","125","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-190","[","]","138","Alpha Rho Lambda","– 193x ?; October 1937"
"","November 5, 1932","Dallas","https://en.wikipedia.org/wiki/Dallas","Texas","https://en.wikipedia.org/wiki/Texas","Active","126","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-191","[","]","139 ?","Alpha Sigma Lambda",""
"","March 17, 1934","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","127","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-192","[","]","140","Alpha Tau Lambda",""
"","December 29, 1932","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","141","Alpha Upsilon Lambda",""
"","May 7, 1935","Norfolk","https://en.wikipedia.org/wiki/Norfolk,_Virginia","Virginia Beach","https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia","Active","128","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-193","[","]","142","Alpha Phi Lambda",""
"","April 27, 1935","Augusta","https://en.wikipedia.org/wiki/Augusta,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","129","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-194","[","]","143","Alpha Chi Lambda",""
"","May 7, 1935","Columbia","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","130","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-195","[","]","144","Alpha Psi Lambda",""
"Alpha Omega Lamba","","","","","","Unassigned","","","","","","",""
"Beta Alpha Lambda First","","Jersey City","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Inactive, Reassigned","d","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-196","[","]","145","Sigma Chi Alpha","193x ?–xxxx ?"
"","June 27, 1999","Baltimore County","https://en.wikipedia.org/wiki/Baltimore_County,_Maryland","Maryland","https://en.wikipedia.org/wiki/Maryland","Active","","","","","145","Beta Alpha Lambda",""
"","November 19, 1937","Florida","https://en.wikipedia.org/wiki/Florida","","","Active","131","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-197","[","]","146","Beta Beta Lambda",""
"","May 4, 1935","Richmond","https://en.wikipedia.org/wiki/Richmond,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","132","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:3-198","[","]","147","Beta Gamma Lambda",""
"","December 27, 1937","Daytona Beach","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","133","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-199","[","]","148","Beta Delta Lamba",""
"","December 23, 1937","Boley","https://en.wikipedia.org/wiki/Boley,_Oklahoma","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","","","","","149","Beta Epsilon Lambda",""
"","March 31, 1938","Jefferson City","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","Missouri","https://en.wikipedia.org/wiki/Missouri","Active","","","","","150","Beta Zeta Lambda",""
"","January 1, 1938","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Oklahoma","https://en.wikipedia.org/wiki/Oklahoma","Active","134","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-200","[","]","151","Beta Eta Lambda",""
"","May 7, 1938","Durham","https://en.wikipedia.org/wiki/Durham,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","152","Beta Theta Lambda",""
"","","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Louisiana","https://en.wikipedia.org/wiki/Louisiana","Active","","","","","153 ?","Beta Iota Lambda","193x ?"
"","","Charleston","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","","154","Beta Kappa Lambda","193x ?"
"Beta Lambda Lambda","","","","","","Unassigned","","","","","","",""
"","August 21, 1931","Salisbury","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","155","Beta Mu Lambda",""
"","August 1, 1931","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:2-35","[","]","156","Beta Nu Lambda",""
"","","Omaha","https://en.wikipedia.org/wiki/Omaha,_Nebraska","Nebraska","https://en.wikipedia.org/wiki/Nebraska","Active","","","","","157","Beta Xi Lambda","193x ?"
"","July 29, 1939","Mobile","https://en.wikipedia.org/wiki/Mobile,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","158","Beta Omicron Lambda",""
"","July 1, 1939","Albany","https://en.wikipedia.org/wiki/Albany,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:5-6","[","]","159","Beta Pi Lambda",""
"Beta Rho Lambda","","Youngstown","https://en.wikipedia.org/wiki/Youngstown,_Ohio","Ohio","https://en.wikipedia.org/wiki/Ohio","Inactive","","","","","160","","19xx ?–xxxx ?"
"","","Hartford","https://en.wikipedia.org/wiki/Hartford,_Connecticut","Connecticut","https://en.wikipedia.org/wiki/Connecticut","Active","","","","","161","Beta Sigma Lambda","19xx ?"
"","","Fort Worth","https://en.wikipedia.org/wiki/Fort_Worth,_Texas","Texas","https://en.wikipedia.org/wiki/Texas","Active","","","","","152 ?","Beta Tau Lambda","19xx ?"
"","","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Tennessee","https://en.wikipedia.org/wiki/Tennessee","Active","86","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:21-148","[","]","163","Beta Upsilon Lambda","1941"
