"fn","vcard","vcard 2","vcard href","category","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href","mw-redirect 2","mw-redirect href 2"
"Alpha Beta Epsilon","1998","Bryant University","https://en.wikipedia.org/wiki/Bryant_University","Active","","","","","","","Smithfield, RI","https://en.wikipedia.org/wiki/Smithfield,_RI"
"Alpha Delta","1929","City College of New York at Harlem","https://en.wikipedia.org/wiki/City_College_of_New_York","Active","4","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-familylinks-4","[","]","","","Harlem, NY","https://en.wikipedia.org/wiki/Harlem,_NY"
"Alpha Zeta Alpha","June 7, 1995","","","Active","","","","","Slippery Rock University of Pennsylvania","https://en.wikipedia.org/wiki/Slippery_Rock_University_of_Pennsylvania","Slippery Rock, PA","https://en.wikipedia.org/wiki/Slippery_Rock,_PA"
"Alpha Theta","1948","West Virginia State University","https://en.wikipedia.org/wiki/West_Virginia_State_University","Active","","","","","","","Institute, WV","https://en.wikipedia.org/wiki/Institute,_WV"
"Alpha Iota","","","","Active","","","","","Bluefield State College","https://en.wikipedia.org/wiki/Bluefield_State_College","Bluefield, WV","https://en.wikipedia.org/wiki/Bluefield,_WV"
"Alpha Mu","1935","University of Maryland Eastern Shore","https://en.wikipedia.org/wiki/University_of_Maryland_Eastern_Shore","Active","","","","","","","Princess Anne, MD","https://en.wikipedia.org/wiki/Princess_Anne,_MD"
"Alpha Mu Alpha","1996","Swarthmore College","https://en.wikipedia.org/wiki/Swarthmore_College","Active","","","","","","","Swarthmore, PA","https://en.wikipedia.org/wiki/Swarthmore,_PA"
"Alpha Nu Alpha","April 15, 1996","Seton Hall University","https://en.wikipedia.org/wiki/Seton_Hall_University","Active","","","","","","","South Orange, NJ","https://en.wikipedia.org/wiki/South_Orange,_NJ"
"Alpha Omicron","1935","Allen University","https://en.wikipedia.org/wiki/Allen_University","Active","","","","","","","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC"
"Alpha Pi Alpha","1996","Robert Morris University","https://en.wikipedia.org/wiki/Robert_Morris_University","Active","","","","","","","Moon Township, PA","https://en.wikipedia.org/wiki/Moon_Township,_PA"
"Alpha Chi Alpha","1998","University of Pennsylvania","https://en.wikipedia.org/wiki/University_of_Pennsylvania","Active","","","","","","","Philadelphia, PA","https://en.wikipedia.org/wiki/Philadelphia,_PA"
"Beta Alpha","1935","Boston Citywide","","Active","","","","","","","Boston, MA","https://en.wikipedia.org/wiki/Boston,_MA"
"Beta Delta","1945","Texas Southern University","","Active","","","","","","","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX"
