"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Kappa Sigma Omega","April 10, 1976","Sanford","https://en.wikipedia.org/wiki/Sanford,_Florida","Florida","Active","228","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-284","[","]"
"Kappa Tau Omega","May 10, 1976","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Indiana","Indiana","Active","229","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-285","[","]"
"Kappa Upsilon Omega","April 14, 1976","Aiken","https://en.wikipedia.org/wiki/Aiken,_South_Carolina","South Carolina","Active","230","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-286","[","]"
"Kappa Phi Omega","","Muscle Shoals","https://en.wikipedia.org/wiki/Muscle_Shoals,_Alabama","Alabama","Active","","","",""
"Kappa Chi Omega","","Columbia","https://en.wikipedia.org/wiki/Columbia,_Missouri","Missouri","Active","","","",""
"Kappa Psi Omega","May 15, 1976","Madison","https://en.wikipedia.org/wiki/Madison,_Wisconsin","Wisconsin","Active","231","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-287","[","]"
"Kappa Omega Omega","May 13, 1976","Bakersfield","https://en.wikipedia.org/wiki/Bakersfield,_California","California","Active","232","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-288","[","]"
"Lambda Alpha Omega","May 29, 1976","Westchester","https://en.wikipedia.org/wiki/Westchester,_Illinois","Illinois","Active","233","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-289","[","]"
"Lambda Beta Omega","June 5, 1976","Opelousas","https://en.wikipedia.org/wiki/Opelousas,_Louisiana","Louisiana","Active","","","",""
"","","","","","Inactive ?","","","",""
"Lambda Delta Omega","June 15, 1976","Williamston","https://en.wikipedia.org/wiki/Williamston,_North_Carolina","North Carolina","Active","234","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-290","[","]"
"Lambda Epsilon Omega","June 26, 1976","Decatur","https://en.wikipedia.org/wiki/Decatur,_Georgia","Georgia","Active","235","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-291","[","]"
"Lambda Zeta Omega","","Lanett","https://en.wikipedia.org/wiki/Lanett,_Alabama","Alabama","Active","","","",""
"Lambda Eta Omega","October 23, 1976","Gadsden","https://en.wikipedia.org/wiki/Gadsden,_Alabama","Alabama","Active","236","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-292","[","]"
"Lambda Theta Omega","December 4, 1976","Kingstree","https://en.wikipedia.org/wiki/Kingstree,_South_Carolina","South Carolina","Active","237","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-293","[","]"
"Lambda Iota Omega","December 11, 1976","Gainesville","https://en.wikipedia.org/wiki/Gainesville,_Georgia","Georgia","Active","238","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-294","[","]"
"Lambda Kappa Omega","December 18, 1976","Fairfax","https://en.wikipedia.org/wiki/Fairfax,_Virginia","Virginia","Active","239","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-295","[","]"
"Lambda Lambda Omega","","Williamsburg","https://en.wikipedia.org/wiki/Williamsburg,_Virginia","Virginia","Active","","","",""
"Lambda Mu Omega","","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","Active","","","",""
"Lambda Nu Omega","May 27, 1977","Waukegan","https://en.wikipedia.org/wiki/Waukegan,_Illinois","Illinois","Active","240","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-296","[","]"
"Lambda Xi Omega","July 9, 1977","Thomasville","https://en.wikipedia.org/wiki/Thomasville,_Georgia","Georgia","Active","241","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-297","[","]"
"Lambda Omicron Omega","August 13, 1977","Bradenton","https://en.wikipedia.org/wiki/Bradenton,_Florida","Florida","Active","242","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-298","[","]"
"Lambda Pi Omega","September 10, 1977","Detroit","https://en.wikipedia.org/wiki/Detroit","Michigan","Active","243","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-299","[","]"
"Lambda Rho Omega","","Gaffney","https://en.wikipedia.org/wiki/Gaffney,_South_Carolina","South Carolina","Active","","","",""
"Lambda Sigma Omega","","Blytheville","https://en.wikipedia.org/wiki/Blytheville,_Arkansas","Arkansas","Active","","","",""
"Lambda Tau Omega","February 26, 1978","Matteson","https://en.wikipedia.org/wiki/Matteson,_Illinois","Illinois","Active","244","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-300","[","]"
"Lambda Upsilon Omega","March 12, 1978","Concord","https://en.wikipedia.org/wiki/Concord,_North_Carolina","North Carolina","Active","","","",""
"Lambda Phi Omega","March 18, 1978","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","Active","245","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:36-301","[","]"
"Lambda Chi Omega","March 24, 1978","Honolulu","https://en.wikipedia.org/wiki/Honolulu","Hawaii","Active","246","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-302","[","]"
"Lambda Psi Omega","","Franklin","https://en.wikipedia.org/wiki/Franklin,_Virginia","Virginia","Active","","","",""
"Lambda Omega Omega","April 23, 1978","Oakhurst","https://en.wikipedia.org/wiki/Oakhurst,_New_Jersey","New Jersey","Active","247","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:38-303","[","]"
"Mu Alpha Omega","April 22, 1978","Midland","https://en.wikipedia.org/wiki/Midland,_Michigan","Michigan","Active","248","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-304","[","]"
"Mu Beta Omega","May 21, 1978","Inglewood","https://en.wikipedia.org/wiki/Inglewood,_California","California","Active","249","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-305","[","]"
"Mu Gamma Omega","May 26, 1978","Saint Croix","https://en.wikipedia.org/wiki/Saint_Croix","","Active","","","",""
"Mu Delta Omega","June 3, 1978","Fort Knox","https://en.wikipedia.org/wiki/Fort_Knox","Kentucky","Active","250","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-307","[","]"
"Mu Epsilon Omega","June 4, 1978","Santa Ana","https://en.wikipedia.org/wiki/Santa_Ana,_California","California","Active","251","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-308","[","]"
"Mu Zeta Omega","","Stockton","https://en.wikipedia.org/wiki/Stockton,_California","California","Active","","","",""
"Mu Eta Omega","June 16, 1978","Junction City","https://en.wikipedia.org/wiki/Junction_City,_Kansas","Kansas","Active","252","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-309","[","]"
"Mu Theta Omega","June 17, 1978","Killeen","https://en.wikipedia.org/wiki/Killeen,_Texas","Texas","Active","253","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-310","[","]"
"Mu Iota Omega","June 22, 1978","Conway","https://en.wikipedia.org/wiki/Conway,_South_Carolina","South Carolina","Active","254","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-311","[","]"
"Mu Kappa Omega","June 24, 1978","Missouri City","https://en.wikipedia.org/wiki/Missouri_City,_Texas","Texas","Active","255","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-312","[","]"
"Mu Lambda Omega","June 25, 1978","Culver City","https://en.wikipedia.org/wiki/Culver_City,_California","California","Active","256","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-313","[","]"
"Mu Mu Omega","","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Texas","Texas","Active","","","",""
"Mu Nu Omega","July 9, 1978","Erie","https://en.wikipedia.org/wiki/Erie,_Pennsylvania","Pennsylvania","Active","","","",""
"Mu Xi Omega","December 17, 1978","Vicksburg","https://en.wikipedia.org/wiki/Vicksburg,_Mississippi","Mississippi","Active","257","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-314","[","]"
"Mu Omicron Omega","January 28, 1979","Chapel Hill","https://en.wikipedia.org/wiki/Chapel_Hill,_North_Carolina","North Carolina","Active","258","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-315","[","]"
"","","","","","Inactive ?","","","",""
"Mu Rho Omega","May 10, 1982","","","Florida","Active","259","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-316","[","]"
"Mu Sigma Omega","August 18, 1979","Opelika","https://en.wikipedia.org/wiki/Opelika,_Alabama","Alabama","Active","","","",""
"Mu Tau Omega","September 8, 1979","Talladega","https://en.wikipedia.org/wiki/Talladega,_Alabama","Alabama","Active","260","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-317","[","]"
"Mu Upsilon Omega","August 25, 1979","Gainesville","https://en.wikipedia.org/wiki/Gainesville,_Florida","Florida","Active","180","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:30-234","[","]"
"Mu Phi Omega","September 15, 1979","Georgetown","https://en.wikipedia.org/wiki/Georgetown,_South_Carolina","South Carolina","Active","262","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-319","[","]"
"Mu Chi Omega","October 14, 1979","Helena","https://en.wikipedia.org/wiki/Helena,_Arkansas","Arkansas","Active","30","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:28-62","[","]"
"Mu Psi Omega","November 24, 1979","Germany","https://en.wikipedia.org/wiki/Germany","","Active","263","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-321","[","]"
"Mu Omega Omega","December 15, 1979","Aurora","https://en.wikipedia.org/wiki/Aurora,_Colorado","Colorado","Active","264","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-322","[","]"
"Nu Alpha Omega","January 19, 1980","Moncks Corner","https://en.wikipedia.org/wiki/Moncks_Corner,_South_Carolina","South Carolina","Active","265","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-323","[","]"
"Nu Beta Omega","January 26, 1980","Clearwater","https://en.wikipedia.org/wiki/Clearwater,_Florida","Florida","Active","266","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-324","[","]"
"Nu Gamma Omega","February 16, 1980","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Louisiana","Active","267","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-325","[","]"
"Nu Delta Omega","March 29, 1980","Beaufort","https://en.wikipedia.org/wiki/Beaufort,_South_Carolina","South Carolina","Active","268","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-326","[","]"
"Nu Epsilon Omega","","Columbus","https://en.wikipedia.org/wiki/Columbus,_Mississippi","Mississippi","Active","","","",""
"Nu Zeta Omega","April 19, 1980","Waldorf","https://en.wikipedia.org/wiki/Waldorf,_Maryland","Maryland","Active","269","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-327","[","]"
"Nu Eta Omega","","Edenton","https://en.wikipedia.org/wiki/Edenton,_North_Carolina","North Carolina","Active","","","",""
"Nu Theta Omega","","Laurens","https://en.wikipedia.org/wiki/Laurens,_South_Carolina","South Carolina","Active","","","",""
"Nu Iota Omega","June 28, 1980","Maitland","https://en.wikipedia.org/wiki/Maitland,_Florida","Florida","Active","270","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-328","[","]"
"Nu Kappa Omega","","Clarksville","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","Tennessee","Active","","","",""
"Nu Lambda Omega","September 13, 1980","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","Active","271","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-329","[","]"
"","","","","","Inactive ?","","","",""
"Nu Nu Omega","","Livingston","https://en.wikipedia.org/wiki/Livingston,_Alabama","Alabama","Active","","","",""
"Nu Xi Omega","December 6, 1980","New Brunswick","https://en.wikipedia.org/wiki/New_Brunswick,_New_Jersey","New Jersey","Active","","","",""
"Nu Omicron Omega","","Springfield","https://en.wikipedia.org/wiki/Springfield,_Illinois","Illinois","Active","","","",""
"Nu Pi Omega","December 14, 1980","Peoria","https://en.wikipedia.org/wiki/Peoria,_Illinois","Illinois","Active","272","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-330","[","]"
"Nu Rho Omega","December 13, 1980","Hinesville","https://en.wikipedia.org/wiki/Hinesville,_Georgia","Georgia","Active","273","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-331","[","]"
"Nu Sigma Omega","December 20, 1980","Tupelo","https://en.wikipedia.org/wiki/Tupelo,_Mississippi","Mississippi","Active","274","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-332","[","]"
"Nu Tau Omega","","Denmark","https://en.wikipedia.org/wiki/Denmark,_South_Carolina","South Carolina","Active","","","",""
"Nu Upsilon Omega","","Midville","https://en.wikipedia.org/wiki/Midville,_Georgia","Georgia","Active","","","",""
"Nu Phi Omega","April 12, 1981","Muskegon","https://en.wikipedia.org/wiki/Muskegon,_Michigan","Michigan","Active","275","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-333","[","]"
"Nu Chi Omega","May 23, 1981","Oxford","https://en.wikipedia.org/wiki/Oxford,_North_Carolina","North Carolina","Active","276","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-334","[","]"
"Nu Psi Omega","","Utica","https://en.wikipedia.org/wiki/Utica,_New_York","New York","Active","277","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-335","[","]"
"Nu Omega Omega","October 31, 1981","Madison","https://en.wikipedia.org/wiki/Madison,_Florida","Florida","Active","","","",""
"Xi Alpha Omega","December 6, 1981","Houston","https://en.wikipedia.org/wiki/Houston","Texas","Active","278","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-336","[","]"
"Xi Beta Omega","December 13, 1981","Griffin","https://en.wikipedia.org/wiki/Griffin,_Georgia","Georgia","Active","279","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-337","[","]"
"Xi Gamma Omega","May 1, 1982","Oakland","https://en.wikipedia.org/wiki/Oakland,_California","California","Active","280","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-338","[","]"
"Xi Delta Omega","April 24, 1982","Harford County","https://en.wikipedia.org/wiki/Harford_County,_Maryland","Maryland","Active","281","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-339","[","]"
"Xi Epsilon Omega","December 21, 1981","Amherst","https://en.wikipedia.org/wiki/Amherst,_New_York","New York","Active","282","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-340","[","]"
"Xi Zeta Omega","January 16, 1982","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","","Active","283","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-341","[","]"
"Xi Eta Omega","","Moline","https://en.wikipedia.org/wiki/Moline,_Illinois","Illinois","Active","284","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-342","[","]"
"Xi Theta Omega","May 14, 1982","Arlington","https://en.wikipedia.org/wiki/Arlington,_Texas","Texas","Active","285","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-343","[","]"
"Xi Iota Omega","May 22, 1982","Oak Ridge","https://en.wikipedia.org/wiki/Oak_Ridge,_Tennessee","Tennessee","Active","6","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:39-11","[","]"
"Xi Kappa Omega","June 19, 1982","Oxnard","https://en.wikipedia.org/wiki/Oxnard,_California","Carlifornia","Active","286","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-344","[","]"
"Xi Lambda Omega","June 26, 1982","Ripley","https://en.wikipedia.org/wiki/Ripley,_Tennessee","Tennessee","Active","","","",""
"Xi Mu Omega","June 27, 1982","Columbia","https://en.wikipedia.org/wiki/Columbia,_Mississippi","Mississippi","Active","287","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-345","[","]"
"Xi Nu Omega","July 9, 1982","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","Active","21","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:41-43","[","]"
"Xi Xi Omega","July 14, 1982","Springfield","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","Massachusetts","Active","288","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-346","[","]"
"Xi Omicron Omega","January 29, 1983","Lynn Haven","https://en.wikipedia.org/wiki/Lynn_Haven,_Florida","Florida","Active","","","",""
"Xi Pi Omega","February 26, 1983","Boynton Beach","https://en.wikipedia.org/wiki/Boynton_Beach,_Florida","Florida","Active","289","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-347","[","]"
"Xi Rho Omega","","Ahoskie","https://en.wikipedia.org/wiki/Ahoskie,_North_Carolina","North Carolina","Active","","","",""
"Xi Sigma Omega","June 11, 1983","Germantown","https://en.wikipedia.org/wiki/Germantown,_Maryland","Maryland","Active","290","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-348","[","]"
"Xi Tau Omega","July 16, 1983","Kansas City","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","Missouri","Active","291","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-349","[","]"
"Xi Upsilon Omega","","Fredericksburg","https://en.wikipedia.org/wiki/Fredericksburg,_Virginia","Virginia","Active","","","",""
"Xi Phi Omega","October 2, 1983","Hickory","https://en.wikipedia.org/wiki/Hickory,_North_Carolina","North Carolina","Active","292","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-350","[","]"
"Xi Chi Omega","October 15, 1983","Peeksill","https://en.wikipedia.org/wiki/Peekskill,_New_York","New York","Active","293","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-351","[","]"
"Xi Psi Omega","October 21, 1983","Anchorage","https://en.wikipedia.org/wiki/Anchorage,_Alaska","Alaska","Active","294","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-352","[","]"
"Xi Omega Omega","November 5, 1983","Walterboro","https://en.wikipedia.org/wiki/Walterboro,_South_Carolina","South Carolina","Active","","","",""
"Omicron Alpha Omega","","Holly Springs","https://en.wikipedia.org/wiki/Holly_Springs,_North_Carolina","Mississippi","Active","","","",""
"Omicron Beta Omega","December 18, 1983","Meridian","https://en.wikipedia.org/wiki/Meridian,_Mississippi","Mississippi","Active","295","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-353","[","]"
"Omicron Gamma Omega","March 24, 1984","Glen Burnie","https://en.wikipedia.org/wiki/Glen_Burnie,_Maryland","Maryland","Active","296","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-354","[","]"
"Omicron Delta Omega","March 24, 1984","Bloomington","https://en.wikipedia.org/wiki/Bloomington,_Illinois","Illinois","Active","297","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-355","[","]"
"Omicron Epsilon Omega","March 24, 1984","Wichita Falls","https://en.wikipedia.org/wiki/Wichita_Falls,_Texas","Texas","Active","298","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-356","[","]"
"Omicron Zeta Omega","","Cheraw","https://en.wikipedia.org/wiki/Cheraw,_South_Carolina","South Carolina","Active","","","",""
"Omicron Eta Omega","May 26, 1984","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","Active","299","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-357","[","]"
"Omicron Theta Omega","May 27, 1984","St. Louis","https://en.wikipedia.org/wiki/St._Louis","Missouri","Active","300","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-358","[","]"
"Omicron Iota Omega","","West Monroe","https://en.wikipedia.org/wiki/West_Monroe,_Louisiana","Louisiana","Active","","","",""
"Omicron Kappa Omega","June 2, 1984","Lakeland","https://en.wikipedia.org/wiki/Lakeland,_Florida","Florida","Active","301","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-359","[","]"
"Omicron Lambda Omega","June 16, 1984","New Orleans","https://en.wikipedia.org/wiki/New_Orleans","Louisiana","Active","","","",""
"Omicron Mu Omega","June 23, 1984","Dallas","https://en.wikipedia.org/wiki/Dallas","Texas","Active","302","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-360","[","]"
"Omicron Nu Omega","","Ithaca","https://en.wikipedia.org/wiki/Ithaca,_New_York","New York","Active","","","",""
"Omicron Xi Omega","June 30, 1984","Montclair","https://en.wikipedia.org/wiki/Montclair,_New_Jersey","New Jersey","Active","303","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-361","[","]"
"Omicron Omicron Omega","October 6, 1984","Marion","https://en.wikipedia.org/wiki/Marion,_South_Carolina","","Active","","","",""
"Omicron Pi Omega","","Chesapeake","https://en.wikipedia.org/wiki/Chesapeake,_Virginia","Virginia","Active","","","",""
"Omicron Rho Omega","","North Charleston","https://en.wikipedia.org/wiki/North_Charleston,_South_Carolina","South Carolina","Active","304","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-362","[","]"
"Omicron Sigma Omega","May 31, 1985","Bowling Green","https://en.wikipedia.org/wiki/Bowling_Green,_Kentucky","Kentucky","Active","305","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-363","[","]"
"Omicron Tau Omega","March 31, 1985","Spring","https://en.wikipedia.org/wiki/Spring,_Texas","Texas","Active","306","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-364","[","]"
"Omicron Upsilon Omega","April 27, 1985","Norwalk","https://en.wikipedia.org/wiki/Norwalk,_Connecticut","Connecticut","Active","307","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-365","[","]"
"Omicron Phi Omega","May 18, 1985","Kokomo","https://en.wikipedia.org/wiki/Kokomo,_Indiana","Indiana","Active","308","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-366","[","]"
"Omicron Chi Omega","May 19, 1985","Woodbridge","https://en.wikipedia.org/wiki/Woodbridge,_Virginia","Virginia","Active","","","",""
"Omicron Psi Omega","","Lexington","https://en.wikipedia.org/wiki/Lexington,_North_Carolina","North Carolina","Active","","","",""
"Omicron Omega Omega","June 15, 1985","Southern Pines","https://en.wikipedia.org/wiki/Southern_Pines,_North_Carolina","North Carolina","Active","309","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-367","[","]"
"Pi Alpha Omega","September 21, 1985","Atlanta","https://en.wikipedia.org/wiki/Atlanta","Georgia","Active","310","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-368","[","]"
"Pi Beta Omega","November 16, 1985","Newberry","https://en.wikipedia.org/wiki/Newberry,_South_Carolina","South Carolina","Active","","","",""
"Pi Gamma Omega","","Rockford","https://en.wikipedia.org/wiki/Rockford,_Illinois","Illinois","Active","","","",""
"Pi Delta Omega","February 8, 1985","Miami","https://en.wikipedia.org/wiki/Miami","Florida","Active","311","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-369","[","]"
"Pi Epsilon Omega","May 24, 1986","Accomack County","https://en.wikipedia.org/wiki/Accomack_County,_Virginia","Virginia","Active","312","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-370","[","]"
"Pi Zeta Omega","May 24, 1986","Greer","https://en.wikipedia.org/wiki/Greer,_South_Carolina","South Carolina","Active","313","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-371","[","]"
"Pi Eta Omega","May 31, 1986","Orange Park","https://en.wikipedia.org/wiki/Orange_Park,_Florida","Florida","Active","314","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-372","[","]"
"Pi Theta Omega","May 31, 1987","Morristown","https://en.wikipedia.org/wiki/Morristown,_New_Jersey","New Jersey","Active","315","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-373","[","]"
"Pi Iota Omega","June 14, 1986","White Plains","https://en.wikipedia.org/wiki/White_Plains,_New_York","New York","Active","316","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-374","[","]"
"Pi Kappa Omega","June 28, 1986","New York City","https://en.wikipedia.org/wiki/New_York_City","New York","Active","317","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-375","[","]"
"Pi Lambda Omega","June 28, 1986","Louisville","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Kentucky","Active","318","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-376","[","]"
"Pi Mu Omega","","Willingboro","https://en.wikipedia.org/wiki/Willingboro_Township,_New_Jersey","New Jersey","Active","","","",""
"Pi Nu Omega","July 6, 1987","Murfreesboro","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","Tennessee","Active","319","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-377","[","]"
"Pi Xi Omega","July 7, 1986","Paterson","https://en.wikipedia.org/wiki/Paterson,_New_Jersey","New Jersey","Active","320","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-378","[","]"
"Pi Omicron Omega","December 7, 1986","Burlington","https://en.wikipedia.org/wiki/Burlington,_North_Carolina","North Carolina","Active","34","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:42-71","[","]"
"Pi Pi Omega","","Westbury","https://en.wikipedia.org/wiki/Westbury,_New_York","New York","Active","","","",""
"Pi Rho Omega","April 4, 1987","","","Virginia","Active","321","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-379","[","]"
"Pi Sigma Omega","May 9, 1987","Cerritos","https://en.wikipedia.org/wiki/Cerritos,_California","California","Active","322","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-380","[","]"
