"tablescraper-selected-row 3","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row href","tablescraper-selected-row 7","tablescraper-selected-row 8","reference","reference href","cite-bracket","cite-bracket 2"
"Alpha Chi Omega","December 12, 1931","Tulsa","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","Oklahoma","Active","84","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-akaaco.com-133","[","]"
"Alpha Psi Omega","June 2, 1932","Wilmington","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","North Carolina","Active","85","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-Alpha_Psi_Omega-134","[","]"
"Alpha Omega Omega","June 3, 1933","Beaumont","https://en.wikipedia.org/wiki/Beaumont,_Texas","Texas","Active","86","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-135","[","]"
"Beta Alpha Omega","","Newark","https://en.wikipedia.org/wiki/Newark,_New_Jersey","New Jersey","Active","87","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-136","[","]"
"Beta Beta Omega","April 21, 1934","Charleston","https://en.wikipedia.org/wiki/Charleston,_West_Virginia","West Virginia","Active","88","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-137","[","]"
"Beta Gamma Omega","","Lexington","https://en.wikipedia.org/wiki/Lexington,_Kentucky","Kentucky","Active","89","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:53-138","[","]"
"Beta Delta Omega","May 28, 1934","Jackson","https://en.wikipedia.org/wiki/Jackson,_Mississippi","Mississippi","Active","90","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:54-139","[","]"
"Beta Epsilon Omega","March 24, 1934","Memphis","https://en.wikipedia.org/wiki/Memphis,_Tennessee","Tennessee","Active","91","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-140","[","]"
"Beta Zeta Omega","","Orangeburg","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","South Carolina","Active","92","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-141","[","]"
"Beta Eta Omega","June 8, 1934","Dayton","https://en.wikipedia.org/wiki/Dayton,_Ohio","Ohio","Active","93","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-142","[","]"
"Beta Iota Omega","February 12, 1934","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","North Carolina","Active","94","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-143","[","]"
"Beta Kappa Omega","April 1, 1935","Wichita","https://en.wikipedia.org/wiki/Wichita,_Kansas","Kansas","Active","","","",""
"Beta Lambda Omega","","Bluefield","https://en.wikipedia.org/wiki/Bluefield,_West_Virginia","West Virginia","Active","","","",""
"Beta Mu Omega","May 2, 1936","Fort Worth","https://en.wikipedia.org/wiki/Fort_Worth,_Texas","Texas","Active","95","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-144","[","]"
"Beta Nu Omega","June 13, 1936","Montgomery","https://en.wikipedia.org/wiki/Montgomery,_Alabama","Alabama","Active","96","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-145","[","]"
"Beta Xi Omega","June 13, 1936","","","Alabama","Active","97","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-146","[","]"
"Beta Omicron Omega","","Okmulgee","https://en.wikipedia.org/wiki/Okmulgee,_Oklahoma","Oklahoma","Active","","","",""
"Beta Pi Omega","March 13, 1937","Little Rock","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Arkansas","Active","17","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-:12-33","[","]"
"Beta Rho Omega","","Hopkinsville","https://en.wikipedia.org/wiki/Hopkinsville,_Kentucky","Kentucky","Active","","","",""
"Beta Sigma Omega","December 19, 1937","Oklahoma City","https://en.wikipedia.org/wiki/Oklahoma_City","Oklahoma","Active","98","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-147","[","]"
"Beta Tau Omega","","Huntington","https://en.wikipedia.org/wiki/Huntington,_West_Virginia","West Virginia","Active","99","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-148","[","]"
"Beta Upsilon Omega","March 6, 1938","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Kentucky","Active","100","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-149","[","]"
"Beta Phi Omega","March 19, 1938","Galveston","https://en.wikipedia.org/wiki/Galveston,_Texas","Texas","Active","101","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-150","[","]"
"Beta Chi Omega","December 3, 1938","Roanoke","https://en.wikipedia.org/wiki/Roanoke,_Virginia","Virginia","Active","102","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-151","[","]"
"Beta Psi Omega","May 7, 1938","Austin","https://en.wikipedia.org/wiki/Austin,_Texas","Texas","Active","103","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-152","[","]"
"Beta Omega Omega","February 18, 1939","Paducah","https://en.wikipedia.org/wiki/Paducah,_Kentucky","Kentucky","Active","","","",""
"Gamma Alpha Omega","March 4, 1939","Jackson","https://en.wikipedia.org/wiki/Jackson,_Tennessee","Tennessee","Active","104","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-153","[","]"
"Gamma Beta Omega","February 18, 1940","Wislon","https://en.wikipedia.org/wiki/Wilson,_North_Carolina","North Carolina","Active","105","https://en.wikipedia.org/wiki/List_of_Alpha_Kappa_Alpha_chapters#cite_note-154","[","]"
