"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 5","tablescraper-selected-row href 2","tablescraper-selected-row 6","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"1209","Upsilon Zeta","December 11, 1973","East Carolina University","https://en.wikipedia.org/wiki/East_Carolina_University","Greenville, North Carolina","https://en.wikipedia.org/wiki/Greenville,_North_Carolina","Active","","","","","",""
"1210","Phi Zeta","February 11, 1974","Ferris State University","https://en.wikipedia.org/wiki/Ferris_State_University","Big Rapids, Michigan","https://en.wikipedia.org/wiki/Big_Rapids,_Michigan","Active","13","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:26-19","[","]","",""
"1211","Chi Zeta","April 6, 1974","Clemson University","https://en.wikipedia.org/wiki/Clemson_University","Clemson, South Carolina","https://en.wikipedia.org/wiki/Clemson,_South_Carolina","Active","","","","","",""
"1213","Omega Zeta","April 12, 1974","Duke University","https://en.wikipedia.org/wiki/Duke_University","Durham, North Carolina","https://en.wikipedia.org/wiki/Durham,_North_Carolina","Active","","","","","",""
"1212","Psi Zeta","April 18, 1974","University of Delaware","https://en.wikipedia.org/wiki/University_of_Delaware","Newark, Delaware","https://en.wikipedia.org/wiki/Newark,_Delaware","Active","","","","","",""
"1215","Beta Eta","April 20, 1974","University of Alabama","https://en.wikipedia.org/wiki/University_of_Alabama","Tuscaloosa, Alabama","https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama","Active","","","","","",""
"1214","Alpha Eta","September 7, 1974","East Stroudsburg, Pennsylvania","https://en.wikipedia.org/wiki/East_Stroudsburg,_Pennsylvania","","","Active","","","","","East Stroudsburg University of Pennsylvania","https://en.wikipedia.org/wiki/East_Stroudsburg_University_of_Pennsylvania"
"","","","Commonwealth University-Bloomsburg","https://en.wikipedia.org/wiki/Commonwealth_University-Bloomsburg","","","","","","","","",""
"1216","Gamma Eta","February 18, 1975","Fayetteville, Arkansas","https://en.wikipedia.org/wiki/Fayetteville,_Arkansas","","","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]","University of Arkansas-Fayetteville","https://en.wikipedia.org/wiki/University_of_Arkansas-Fayetteville"
"1217","Delta Eta","February 18, 1975","Southern Arkansas University","https://en.wikipedia.org/wiki/Southern_Arkansas_University","Magnolia, Arkansas","https://en.wikipedia.org/wiki/Magnolia,_Arkansas","Active","26","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:17-40","[","]","",""
"1218","Epsilon Eta","February 18, 1975","Chicago State University","https://en.wikipedia.org/wiki/Chicago_State_University","","","Active","2","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:10-2","[","]","Chicago, Illinois","https://en.wikipedia.org/wiki/Chicago,_Illinois"
"1219","Zeta Eta","April 5, 1975","Paul Quinn College","https://en.wikipedia.org/wiki/Paul_Quinn_College","Red Oak, Texas","https://en.wikipedia.org/wiki/Red_Oak,_Texas","Inactive","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]","",""
"1220","Eta Eta","April 18, 1975","Kettering University","https://en.wikipedia.org/wiki/Kettering_University","Flint, Michigan","https://en.wikipedia.org/wiki/Flint,_Michigan","Active","34","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-58","[","]","",""
"","","","University of South Alabama","https://en.wikipedia.org/wiki/University_of_South_Alabama","","","","","","","","",""
"","","","University of Michigan–Flint","https://en.wikipedia.org/wiki/University_of_Michigan%E2%80%93Flint","","","","","","","","",""
"1222","Iota Eta","July 20, 1975","New Jersey Institute of Technology","https://en.wikipedia.org/wiki/New_Jersey_Institute_of_Technology","Newark, New Jersey","https://en.wikipedia.org/wiki/Newark,_New_Jersey","Active","","","","","",""
"","","","Rutgers University–Newark","https://en.wikipedia.org/wiki/Rutgers_University%E2%80%93Newark","","","","","","","","",""
"1223","Kappa Eta","July 20, 1975","Seton Hall University","https://en.wikipedia.org/wiki/Seton_Hall_University","South Orange, New Jersey","https://en.wikipedia.org/wiki/South_Orange,_New_Jersey","Active","","","","","",""
"1224","Lambda Eta","September 10, 1975","Wake Forest University","https://en.wikipedia.org/wiki/Wake_Forest_University","Winston-Salem, North Carolina","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","Active","","","","","",""
"1225","Mu Eta","November 12, 1975","Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama","Daniel Payne College","https://en.wikipedia.org/wiki/Daniel_Payne_College","Inactive","z","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-60","[","]","",""
"1226","Nu Eta","November 12, 1975","University of Southern Mississippi","https://en.wikipedia.org/wiki/University_of_Southern_Mississippi","Hattiesburg, Mississippi","https://en.wikipedia.org/wiki/Hattiesburg,_Mississippi","Active","","","","","",""
"1227","Xi Eta","November 15, 1975","Texas Tech University","https://en.wikipedia.org/wiki/Texas_Tech_University","Lubbock, Texas","https://en.wikipedia.org/wiki/Lubbock,_Texas","Inactive","16","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:21-24","[","]","",""
"1228","Omicron Eta","November 15, 1975","University of Connecticut","https://en.wikipedia.org/wiki/University_of_Connecticut","Storrs, Connecticut","https://en.wikipedia.org/wiki/Storrs,_Connecticut","Active","","","","","",""
"1229","Pi Eta","March 22, 1976","Lewis University","https://en.wikipedia.org/wiki/Lewis_University","Romeoville, Illinois","https://en.wikipedia.org/wiki/Romeoville,_Illinois","Active","21","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:22-33","[","]","",""
"1230","Rho Eta","April 10, 1976","University of Kansas","https://en.wikipedia.org/wiki/University_of_Kansas","Lawrence, Kansas","https://en.wikipedia.org/wiki/Lawrence,_Kansas","Active","","","","","",""
"1231","Sigma Eta","April 10, 1976","University of California, Riverside","https://en.wikipedia.org/wiki/University_of_California,_Riverside","Riverside, California","https://en.wikipedia.org/wiki/Riverside,_California","Active","","","","","",""
"1234","Phi Eta","April 10, 1976","University of Louisville","https://en.wikipedia.org/wiki/University_of_Louisville","Louisville, Kentucky","https://en.wikipedia.org/wiki/Louisville,_Kentucky","Active","6","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:0-7","[","]","",""
"1232","Tau Eta","April 15, 1976","Drake University","https://en.wikipedia.org/wiki/Drake_University","Des Moines, Iowa","https://en.wikipedia.org/wiki/Des_Moines,_Iowa","Active","","","","","",""
"1233","Upsilon Eta","May 11, 1976","Greenwood, South Carolina","https://en.wikipedia.org/wiki/Greenwood,_South_Carolina","","","Active","","","","","Lander College","https://en.wikipedia.org/wiki/Lander_College"
"1235","Chi Eta","July 1, 1976","University of Northern Iowa","https://en.wikipedia.org/wiki/University_of_Northern_Iowa","Cedar Falls, Iowa","https://en.wikipedia.org/wiki/Cedar_Falls,_Iowa","Active","","","","","",""
"1236","Psi Eta","July 1, 1976","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro, North Carolina","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active","","","","","",""
"1238","Alpha Kappa","August 15, 1976","Marquette University","https://en.wikipedia.org/wiki/Marquette_University","","","Active","29","https://en.wikipedia.org/wiki/List_of_Omega_Psi_Phi_chapters#cite_note-:25-49","[","]","Milwaukee, Wisconsin","https://en.wikipedia.org/wiki/Milwaukee,_Wisconsin"
"1237","Omega Eta","August 15, 1976","Augusta State University","https://en.wikipedia.org/wiki/Augusta_State_University","Augusta, Georgia","https://en.wikipedia.org/wiki/Augusta,_Georgia","Active","","","","","",""
"1239","Beta Kappa","October 13, 1976","Frostburg State University","https://en.wikipedia.org/wiki/Frostburg_State_University","Frostburg, Maryland","https://en.wikipedia.org/wiki/Frostburg,_Maryland","Active","","","","","",""
"1626","Eta Xi","October 13, 1976","Mississippi State University","https://en.wikipedia.org/wiki/Mississippi_State_University","Starkville, Mississippi","https://en.wikipedia.org/wiki/Starkville,_Mississippi","Active","","","","","",""
"1241","Delta Kappa","November 20, 1976","","","","","Active","","","","","Georgia Institute of Technology","https://en.wikipedia.org/wiki/Georgia_Institute_of_Technology"
"1242","Epsilon Kappa","November 20, 1976","Clarion, Pennsylvania","https://en.wikipedia.org/wiki/Clarion,_Pennsylvania","","","Active","","","","","Clarion University of Pennsylvania","https://en.wikipedia.org/wiki/Clarion_University_of_Pennsylvania"
