"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Lambda Beta Sigma","","Active","33","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:2-42","[","]","Springfield, Massachusetts","https://en.wikipedia.org/wiki/Springfield,_Massachusetts","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","November 21, 2009"
"Lambda Gamma Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Pomona, California","https://en.wikipedia.org/wiki/Pomona,_California","176","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-191","[","]","May 15, 2010"
"Lambda Delta Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Annapolis, Maryland","https://en.wikipedia.org/wiki/Annapolis,_Maryland","","","","","May 16, 2010"
"Lambda Epsilon Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Salisbury, North Carolina","https://en.wikipedia.org/wiki/Salisbury,_North_Carolina","177","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-192","[","]","June 5, 2010"
"Lambda Zeta Sigma","","Active","33","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:2-42","[","]","Litchfield, Connecticut","https://en.wikipedia.org/wiki/Litchfield,_Connecticut","42","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:21-54","[","]","June 19, 2010"
"Lambda Eta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Pinson, Alabama","https://en.wikipedia.org/wiki/Pinson,_Alabama","178","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-193","[","]","September 11, 2010"
"Lambda Theta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Brooksville, Florida","https://en.wikipedia.org/wiki/Brooksville,_Florida","179","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-194","[","]","October 2, 2010"
"Lambda Iota Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Madison, Tennessee","https://en.wikipedia.org/wiki/Madison,_Tennessee","180","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-195","[","]","December 5, 2010"
"Lambda Kappa Sigma","","Active","33","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:2-42","[","]","Brockton, Massachusetts","https://en.wikipedia.org/wiki/Brockton,_Massachusetts","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","January 29, 2011"
"Lambda Lambda Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Kalamazoo, Michigan","https://en.wikipedia.org/wiki/Kalamazoo,_Michigan","182","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-197","[","]","April 16, 2011"
"Lambda Mu Sigma","","Active","183","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-198","[","]","","","","","","","August 6, 2011"
"Lambda Nu Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Canada","https://en.wikipedia.org/wiki/Canada","184","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-199","[","]","October 8, 2011"
"Lambda Xi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Athens, Ohio","https://en.wikipedia.org/wiki/Athens,_Ohio","","","","","October 15, 2011"
"Lambda Omicron Sigma","","Inactive","","","","","","","","","","",""
"Lambda Pi Sigma","2012","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Savannah, Georgia","https://en.wikipedia.org/wiki/Savannah,_Georgia","","","","",""
"Lambda Rho Sigma","2012","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Santa Monica, California","https://en.wikipedia.org/wiki/Santa_Monica,_California","185","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-200","[","]",""
"Lambda Sigma Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Stockbridge, Georgia","https://en.wikipedia.org/wiki/Stockbridge,_Georgia","186","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-201","[","]","June 9, 2012"
"Lambda Tau Sigma","201x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","","","","","","",""
"Lambda Upsilon Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Plano, Texas","https://en.wikipedia.org/wiki/Plano,_Texas","","","","","June 29, 2013"
"Lambda Phi Sigma","","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","Fayetteville, Arkansas","https://en.wikipedia.org/wiki/Fayetteville,_Arkansas","","","","","August 2, 2013"
"Lambda Chi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Alsip, Illinois","https://en.wikipedia.org/wiki/Alsip,_Illinois","187","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-202","[","]","September 7, 2013"
"Lambda Psi Sigma","201x ?","Inactive","","","","","","","","","","",""
"Lambda Omega Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Spring, Texas","https://en.wikipedia.org/wiki/Spring,_Texas","188","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-203","[","]","November 9, 2013"
"Mu Alpha Sigma","201x ?","Inactive","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","","","","","","",""
"Mu Beta Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Round Rock, Texas","https://en.wikipedia.org/wiki/Round_Rock,_Texas","189","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-204","[","]","July 26, 2014"
