"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 4","tablescraper-selected-row href","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","tablescraper-selected-row 5"
"Alpha Sigma","192x ?","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","","","","",""
"Beta Sigma","192x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Montgomery, Alabama","https://en.wikipedia.org/wiki/Montgomery,_Alabama","","","","",""
"Gamma Sigma","1928","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Houston, Texas","https://en.wikipedia.org/wiki/Houston","","","","",""
"Delta Sigma","1927","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","63","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-77","[","]",""
"Epsilon Sigma","19xx ?","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","","","","","","",""
"Zeta Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","St. Louis, Missouri","https://en.wikipedia.org/wiki/St._Louis","65","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-79","[","]","June 5, 1932"
"Eta Sigma","1933","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Atlanta, Georgia","https://en.wikipedia.org/wiki/Atlanta","","","","",""
"Theta Sigma","","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","Little Rock, Arkansas","https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","","","","","March 8, 1935"
"Iota Sigma","1935","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Richmond, Virginia","https://en.wikipedia.org/wiki/Richmond,_Virginia","68","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-82","[","]",""
"Kappa Sigma","1936","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","New York City","https://en.wikipedia.org/wiki/New_York_City","","","","","New York"
"Lambda Sigma","","InActive","","","","","","","","","","",""
"Mu Sigma","","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Baton Rouge, Louisiana","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","","","","","December 8, 1945"
"Nu Sigma","","Active","69","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-83","[","]","Jackson, Tennessee","https://en.wikipedia.org/wiki/Jackson,_Tennessee","","","","","November 2, 1937"
"Xi Sigma","1937","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Spartanburg, South Carolina","https://en.wikipedia.org/wiki/Spartanburg,_South_Carolina","","","","",""
"Omicron Sigma","1937","Active","16","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:0-20","[","]","Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]",""
"Pi Sigma","1938","Active","70","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-84","[","]","Louisville, Kentucky","https://en.wikipedia.org/wiki/Louisville,_Kentucky","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]",""
"Rho Sigma","1936","Active","71","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-85","[","]","","","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]",""
"Sigma Sigma","","Active","72","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:14-86","[","]","Los Angeles, California","https://en.wikipedia.org/wiki/Los_Angeles","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","July 30, 1939"
"Tau Sigma","","Active","73","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-87","[","]","Jackson, Mississippi","https://en.wikipedia.org/wiki/Jackson,_Mississippi","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","February 19, 1938"
"Upsilon Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Nashville, Tennessee","https://en.wikipedia.org/wiki/Nashville,_Tennessee","74","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-88","[","]","November 12, 1939"
"Phi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","75","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-89","[","]","August 14, 1938"
"Chi Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Birmingham, Alabama","https://en.wikipedia.org/wiki/Birmingham,_Alabama","","","","","November 11, 1938"
"Psi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Kansas City, Missouri","https://en.wikipedia.org/wiki/Kansas_City,_Missouri","76","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-90","[","]","December 19, 1938"
"Omega Sigma","19xx ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Newport News, Virginia","https://en.wikipedia.org/wiki/Newport_News,_Virginia","","","","",""
"Alpha Alpha Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","","","77","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-91","[","]","April 9, 1940"
"Alpha Beta Sigma","194x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Portsmouth, Virginia","https://en.wikipedia.org/wiki/Portsmouth,_Virginia","","","","",""
"Alpha Gamma Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Longview, Texas","https://en.wikipedia.org/wiki/Longview,_Texas","","","","","March 1941"
"Alpha Delta Sigma","","Inactive","","","","","","","","","","",""
"Alpha Epsilon Sigma","","Inactive","","","","","","","","","","",""
"Alpha Zeta Sigma","January 25, 1941","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Bessemer, Alabama","https://en.wikipedia.org/wiki/Bessemer,_Alabama","","","","","January 25, 1941"
"Alpha Eta Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","","","","","","","March 28, 1941"
"Alpha Theta Sigma","","Inactive","","","","","","","","","","",""
"Alpha Iota Sigma","194x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Savannah, Georgia","https://en.wikipedia.org/wiki/Savannah,_Georgia","","","","",""
"Alpha Kappa Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Austin, Texas","https://en.wikipedia.org/wiki/Austin,_Texas","78","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-92","[","]","February 2, 1946"
"Alpha Lambda Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","79","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-93","[","]","June 20, 1942"
"Alpha Mu Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Winston-Salem, North Carolina","https://en.wikipedia.org/wiki/Winston-Salem,_North_Carolina","80","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-94","[","]","February 15, 1943"
"Alpha Nu Sigma","1943","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Wilmington, Delaware","https://en.wikipedia.org/wiki/Wilmington,_Delaware","","","","",""
"Alpha Xi Sigma","194x ?","Active","81","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-95","[","]","Tulsa, Oklahoma","https://en.wikipedia.org/wiki/Tulsa,_Oklahoma","","","","",""
"Alpha Omicron Sigma","","Active","82","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-96","[","]","Dallas, Texas","https://en.wikipedia.org/wiki/Dallas","","","","","December 29, 1944"
"Alpha Pi Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Fort Worth, Texas","https://en.wikipedia.org/wiki/Fort_Worth,_Texas","83","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-97","[","]","March 17, 1945"
"Alpha Rho Sigma","194x ?","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Waco, Texas","https://en.wikipedia.org/wiki/Waco,_Texas","","","","",""
"Alpha Sigma Sigma","194x ?","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Gary, Indiana","https://en.wikipedia.org/wiki/Gary,_Indiana","","","","",""
"Alpha Tau Sigma","","Inactive","","","","","","","","","","",""
"Alpha Upsilon Sigma","1941","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","East St. Louis, Illinois","https://en.wikipedia.org/wiki/East_St._Louis,_Illinois","a","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-98","[","]",""
"Alpha Phi Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","San Antonio, Texas","https://en.wikipedia.org/wiki/San_Antonio","","","","","October 6, 1945"
"Alpha Chi Sigma","1945","Active","66","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:8-80","[","]","Pine Bluff, Arkansas","https://en.wikipedia.org/wiki/Pine_Bluff,_Arkansas","","","","",""
"Alpha Psi Sigma","194x ?","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Beaumont, Texas","https://en.wikipedia.org/wiki/Beaumont,_Texas","","","","",""
"Alpha Omega Sigma","","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Dallas, Texas","https://en.wikipedia.org/wiki/Dallas","","","","","December 29, 1944"
"Beta Alpha Sigma","","Inactive","","","","","","","","","","",""
"Beta Beta Sigma","","Inactive","","","","","","","","","","",""
"Beta Gamma Sigma","","Inactive","","","","","","","","","","",""
"Beta Delta Sigma","1946","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Tallahassee, Florida","https://en.wikipedia.org/wiki/Tallahassee,_Florida","","","","",""
"Beta Epsilon Sigma","194x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Columbia, South Carolina","https://en.wikipedia.org/wiki/Columbia,_South_Carolina","","","","",""
"Beta Zeta Sigma","1947","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Rocky Mount, North Carolina","https://en.wikipedia.org/wiki/Rocky_Mount,_North_Carolina","","","","",""
"Beta Eta Sigma","","Active","72","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:14-86","[","]","Portland, Oregon","https://en.wikipedia.org/wiki/Portland,_Oregon","","","","","August 1947"
"Beta Theta Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Oakland, California","https://en.wikipedia.org/wiki/Oakland,_California","","","","","November 30, 1947"
"Beta Iota Sigma","194x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Daytona Beach, Florida","https://en.wikipedia.org/wiki/Daytona_Beach,_Florida","","","","",""
"Beta Kappa Sigma","194x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Tampa, Florida","https://en.wikipedia.org/wiki/Tampa,_Florida","","","","",""
"Beta Lambda Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Raleigh, North Carolina","https://en.wikipedia.org/wiki/Raleigh,_North_Carolina","84","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-99","[","]","December 10, 1949"
"Beta Mu Sigma","","Active","85","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:15-100","[","]","Phoenix, Arizona","https://en.wikipedia.org/wiki/Phoenix,_Arizona","86","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-101","[","]","May 20, 1952"
"Beta Nu Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","","","87","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-102","[","]","June 24, 1950"
"Beta Xi Sigma","1950","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Petersburg, Virginia","https://en.wikipedia.org/wiki/Petersburg,_Virginia","88","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-103","[","]",""
"Beta Omicron Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Charlotte, North Carolina","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","89","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-104","[","]","December 2, 1950"
"Beta Pi Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Durham, North Carolina","https://en.wikipedia.org/wiki/Durham,_North_Carolina","90","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-105","[","]","April 13, 1951"
"Beta Rho Sigma","1951","Active","91","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:16-106","[","]","Denver, Colorado","https://en.wikipedia.org/wiki/Denver","","","","",""
"Beta Sigma Sigma","195x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Wilmington, North Carolina","https://en.wikipedia.org/wiki/Wilmington,_North_Carolina","","","","",""
"Beta Tau Sigma","","Inactive","","","","","","","","","","",""
"Beta Upsilon Sigma","","Inactive","","","","","","","","","","",""
"Beta Phi Sigma","195x ?–202x ?","Inactive","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Jefferson City, Missouri","https://en.wikipedia.org/wiki/Jefferson_City,_Missouri","","","","",""
"Beta Chi Sigma","1953","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Hattiesburg, Mississippi","https://en.wikipedia.org/wiki/Hattiesburg,_Mississippi","92","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-107","[","]",""
"Beta Psi Sigma","195x ?–xxxx ?; March 14, 2007","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","","","93","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-108","[","]",""
"Beta Omega Sigma","19xx ?","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Shreveport, Louisiana","https://en.wikipedia.org/wiki/Shreveport,_Louisiana","","","","",""
"Gamma Alpha Sigma","","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Bakersfield, California","https://en.wikipedia.org/wiki/Bakersfield,_California","","","","","March 14, 1954"
"Gamma Beta Sigma","1954","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Omaha, Nebraska","https://en.wikipedia.org/wiki/Omaha,_Nebraska","","","","",""
"Gamma Gamma Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","West Palm Beach, Florida","https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida","94","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-109","[","]","May 11, 1955"
"Gamma Delta Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","","","","","","","March 11, 1955"
"Gamma Epsilon Sigma","","Inactive","","","","","","","","","","",""
"Gamma Zeta Sigma","","Inactive","","","","","","","","","","",""
"Gamma Eta Sigma","19xx ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Knoxville, Tennessee","https://en.wikipedia.org/wiki/Knoxville,_Tennessee","","","","",""
"Gamma Theta Sigma","19xx ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Chattanooga, Tennessee","https://en.wikipedia.org/wiki/Chattanooga,_Tennessee","","","","",""
"Gamma Iota Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Fort Pierce, Florida","https://en.wikipedia.org/wiki/Fort_Pierce,_Florida","","","","","April 1961"
"Gamma Kappa Sigma","","Inactive","","","","","","","","","","",""
"Gamma Lambda Sigma","19xx ?","Active","64","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:7-78","[","]","Lake Charles, Louisiana","https://en.wikipedia.org/wiki/Lake_Charles,_Louisiana","","","","",""
"Gamma Mu Sigma","19xx ?","Active","95","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:9-110","[","]","Oklahoma City, Oklahoma","https://en.wikipedia.org/wiki/Oklahoma_City","","","","",""
"Gamma Nu Sigma","1962","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Newark, New Jersey","https://en.wikipedia.org/wiki/Newark,_New_Jersey","","","","",""
"Gamma Xi Sigma","","Inactive","","","","","","","","","","",""
"Gamma Omicron Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Jacksonville, Florida","https://en.wikipedia.org/wiki/Jacksonville,_Florida","96","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-111","[","]","September 29, 1962"
"Gamma Pi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","","","97","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-112","[","]","March 15, 1963"
"Gamma Rho Sigma","","Inactive","","","","","","","","","","",""
"Gamma Sigma Sigma","196x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Bermuda","https://en.wikipedia.org/wiki/Bermuda","","","","",""
"Gamma Tau Sigma","","Active","98","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-113","[","]","Long Beach, California","https://en.wikipedia.org/wiki/Long_Beach,_California","","","","","December 26, 1964"
"Gamma Upsilon Sigma","196c ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Monroe, North Carolina","https://en.wikipedia.org/wiki/Monroe,_North_Carolina","","","","",""
"Gamma Phi Sigma","1966","Active","62","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:6-76","[","]","Houston, Texas","https://en.wikipedia.org/wiki/Houston","","","","",""
"Gamma Chi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Wichita, Kansas","https://en.wikipedia.org/wiki/Wichita,_Kansas","99","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-114","[","]","June 17, 1967"
"Gamma Psi Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Saginaw, Michigan","https://en.wikipedia.org/wiki/Saginaw,_Michigan","100","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-115","[","]","May 21, 1967"
"Gamma Omega Sigma","196x ?","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Suffolk, Virginia","https://en.wikipedia.org/wiki/Suffolk,_Virginia","","","","",""
"Delta Alpha Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Augusta, Georgia","https://en.wikipedia.org/wiki/Augusta,_Georgia","","","","","March 23, 1968"
"Delta Beta Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Norfolk, Virginia","https://en.wikipedia.org/wiki/Norfolk,_Virginia","","","","","May 18, 1968"
"Delta Gamma Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Fayetteville, North Carolina","https://en.wikipedia.org/wiki/Fayetteville,_North_Carolina","101","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-116","[","]","June 8, 1968"
"Delta Delta Sigma","","Inactive","","","","","","","","","","",""
"Delta Epsilon Sigma","","Inactive","","","","","","","","","","",""
"Delta Zeta Sigma","19xx ?","Active","24","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:12-30","[","]","Compton, California","https://en.wikipedia.org/wiki/Compton,_California","","","","",""
"Delta Eta Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Kansas City, Kansas","https://en.wikipedia.org/wiki/Kansas_City,_Kansas","102","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-117","[","]","September 19, 1973"
"Delta Theta Sigma","","Inactive","","","","","","","","","","",""
"Delta Iota Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Charleston, South Carolina","https://en.wikipedia.org/wiki/Charleston,_South_Carolina","103","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-118","[","]","November 3, 1973"
"Delta Kappa Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Plainfield, New Jersey","https://en.wikipedia.org/wiki/Plainfield,_New_Jersey","104","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-119","[","]","January 26, 1974"
"Delta Lambda Sigma","197x ?","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Vicksburg, Mississippi","https://en.wikipedia.org/wiki/Vicksburg,_Mississippi","","","","",""
"Delta Mu Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Orlando, Florida","https://en.wikipedia.org/wiki/Orlando,_Florida","105","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-120","[","]","January 1974"
"Delta Nu Sigma","","Active","106","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-121","[","]","Mount Vernon, New York","https://en.wikipedia.org/wiki/Mount_Vernon,_New_York","","","","","May 1975"
"Delta Xi Sigma","197x ?","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Evanston, Illinois","https://en.wikipedia.org/wiki/Evanston,_Illinois","","","","",""
"Delta Omicron Sigma","","Active","8","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:10-9","[","]","Columbus, Ohio","https://en.wikipedia.org/wiki/Columbus,_Ohio","107","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-122","[","]","July 20, 1975"
"Delta Pi Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Macon, Georgia","https://en.wikipedia.org/wiki/Macon,_Georgia","30","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:24-38","[","]","April 14, 1975"
"Delta Rho Sigma","– xxxx ?; September 2010","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Tuskegee, Alabama","https://en.wikipedia.org/wiki/Tuskegee,_Alabama","108","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-123","[","]","November 8, 1975"
"Delta Sigma Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Greensboro, North Carolina","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","43","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:25-55","[","]","April 24, 1976"
"Delta Tau Sigma","","Active","67","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:4-81","[","]","Dover, Delaware","https://en.wikipedia.org/wiki/Dover,_Delaware","109","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-124","[","]","March 30, 1974"
"Delta Upsilon Sigma","","Active","61","https://en.wikipedia.org/wiki/List_of_Sigma_Gamma_Rho_chapters#cite_note-:11-75","[","]","Fort Lauderdale, Florida","https://en.wikipedia.org/wiki/Fort_Lauderdale,_Florida","","","","","April 4, 1976"
