"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 4","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href"
"Bowling Green (KY) Alumni Chapter","1976","Active","South Central","","","","","Bowling Green, KY","https://en.wikipedia.org/wiki/Bowling_Green,_KY"
"Binghamton (NY) Alumni Chapter","1976","Inactive","Northeastern","170","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-174","[","]","Binghamton, NY","https://en.wikipedia.org/wiki/Binghamton,_NY"
"Bakersfield (CA) Alumni Chapter","1977","Active","Western","","","","","Bakersfield, CA","https://en.wikipedia.org/wiki/Bakersfield,_CA"
"Pompano Beach (FL) Alumni Chapter","1977","Active","Southern","171","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-175","[","]","Pompano Beach, FL","https://en.wikipedia.org/wiki/Pompano_Beach,_FL"
"Salisbury (MD) Alumni Chapter","1977","Active","Eastern","172","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-176","[","]","Salisbury, MD","https://en.wikipedia.org/wiki/Salisbury,_MD"
"Killeen (TX) Alumni Chapter","1977","Active","Southwestern","173","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-177","[","]","Fort Cavazos","https://en.wikipedia.org/wiki/Fort_Cavazos"
"Dothan (AL) Alumni Chapter","1977","Active","Southern","174","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-178","[","]","Dothan, AL","https://en.wikipedia.org/wiki/Dothan,_AL"
"Long Beach-Inglewood-South Bay (CA) Alumni Chapter","1977","Active","Western","175","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-179","[","]","",""
"Ventura (CA) Alumni Chapter","1977","Active","Western","176","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-180","[","]","Ventura, CA","https://en.wikipedia.org/wiki/Ventura,_CA"
"Bloomington (IN) Alumni Chapter","1977","Inactive","North Central","","","","","Bloomington, IN","https://en.wikipedia.org/wiki/Bloomington,_IN"
"Monterey (CA) Alumni Chapter","1977","Active","Western","","","","","Monterey, CA","https://en.wikipedia.org/wiki/Monterey,_CA"
"Kinston (NC) Alumni Chapter","1977","Inactive","Middle Eastern","","","","","Kinston, NC","https://en.wikipedia.org/wiki/Kinston,_NC"
"New Brunswick (NJ) Alumni Chapter","1978","Active","Northeastern","177","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-181","[","]","New Brunswick, NJ","https://en.wikipedia.org/wiki/New_Brunswick,_NJ"
"Walterboro (SC) Alumni Chapter","1978","Active","Southeastern","","","","","Walterboro, SC","https://en.wikipedia.org/wiki/Walterboro,_SC"
"LaGrange (GA) Alumni Chapter","1978","Active","Southeastern","178","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-182","[","]","LaGrange, GA","https://en.wikipedia.org/wiki/LaGrange,_GA"
"Palo Alto (CA) Alumni Chapter","1978","Active","Western","179","https://en.wikipedia.org/wiki/List_of_Kappa_Alpha_Psi_chapters#cite_note-183","[","]","Palo Alto, CA","https://en.wikipedia.org/wiki/Palo_Alto,_CA"
"Cocoa-Merritt Island (FL) Alumni Chapter","1978","Active","Southern","","","","","Cocoa-Merritt Island, FL","https://en.wikipedia.org/wiki/Brevard_County,_FL"
